mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,52,53,74,75,76,84,100,101,102,104,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
62,5.5003129173815966,22.452,5.213,1.654,0.766,0.147,0.583,0.495,0.33,0.455,0.315,0.115,0.494,0.354,0.179,0.519,0.378,0.48,0.375,0.213,162.802,0.469,0.295,0.342,0.372,0.356,5.0,0.0004715,7.175,4.775,1.0,0.498802,1.4380374,54.786201,149.257965,70.187012
63,6.0655015487564325,41.567,3.645,2.128,0.878,0.139,0.542,0.324,0.472,0.526,0.188,0.23,0.538,0.215,0.284,0.543,0.235,0.574,0.256,0.329,247.698,0.446,0.315,0.346,0.364,0.386,5.0,0.000493,8.296,4.701,1.0,0.669305,5.35536807,71.113342,166.126373,64.029617
64,7.795880017344075,33.79,3.753,1.089,0.875,0.144,0.501,0.432,0.432,0.572,0.221,0.206,0.523,0.277,0.253,0.503,0.305,0.583,0.333,0.281,167.691,0.455,0.333,0.351,0.365,0.399,5.0,0.0005027,7.428,4.87,1.0,0.628095,7.28306258,73.535736,154.739166,66.549667
65,5.480172006224281,36.398,2.884,1.182,0.9,0.146,0.633,0.431,0.399,0.512,0.182,0.198,0.544,0.247,0.234,0.565,0.29,0.493,0.344,0.246,151.375,0.487,0.297,0.342,0.371,0.361,5.0,0.0004898,7.333,3.951,1.0,0.592413,0.287294361,32.801857,138.483749,46.491764
66,7.698970004336019,29.493,3.43,1.718,0.851,0.143,0.456,0.446,0.525,0.51,0.168,0.378,0.472,0.251,0.413,0.457,0.302,0.577,0.28,0.418,157.719,0.476,0.352,0.379,0.395,0.425,4.0,0.0005062,7.514,4.501,1.0,0.588828,2.66607692,68.895531,166.614594,90.011307
67,5.896196279044043,35.319,2.295,1.455,0.904,0.149,0.577,0.418,0.404,0.525,0.165,0.151,0.547,0.228,0.217,0.559,0.275,0.561,0.26,0.281,135.783,0.466,0.28,0.331,0.363,0.368,3.0,0.0005058,7.103,3.851,1.0,0.599863,3.03924081,44.043961,120.264198,57.500126
68,6.832682665251824,32.041,4.721,1.033,0.848,0.145,0.514,0.439,0.306,0.569,0.253,0.087,0.532,0.294,0.143,0.518,0.312,0.633,0.355,0.137,189.222,0.42,0.303,0.323,0.337,0.375,6.0,0.000511,8.248,4.468,1.0,0.614966,6.20355514,63.926739,126.621361,71.128883
69,5.610833915635467,35.065,2.119,1.065,0.917,0.147,0.597,0.373,0.232,0.497,0.227,0.134,0.514,0.259,0.126,0.528,0.282,0.493,0.314,0.269,113.906,0.4,0.286,0.3,0.312,0.358,4.0,0.0005016,7.149,4.118,1.0,0.581692,1.61761149,64.039589,128.338654,80.363731
70,5.207608310501746,26.677,8.377,1.508,0.73,0.136,0.469,0.424,0.486,0.497,0.278,0.151,0.453,0.349,0.253,0.463,0.374,0.532,0.321,0.383,276.346,0.459,0.308,0.352,0.38,0.412,6.0,0.0005046,8.744,3.754,1.0,0.58278,6.26247807,35.60659,175.693451,169.96637
71,5.3979400086720375,28.703,15.344,1.073,0.636,0.136,0.431,0.359,0.365,0.411,0.318,0.188,0.423,0.303,0.233,0.429,0.3,0.497,0.351,0.239,487.687,0.385,0.306,0.32,0.331,0.362,3.0,0.0005028,9.697,5.331,1.0,0.655446,6.08770519,99.33181,132.379929,156.376877
73,5.301029995663981,32.096,11.703,1.265,0.712,0.137,0.472,0.411,0.453,0.497,0.276,0.132,0.467,0.336,0.219,0.468,0.366,0.585,0.307,0.327,431.045,0.445,0.301,0.341,0.365,0.407,5.0,0.0005018,9.184,3.901,1.0,0.655547,4.4054633,86.202332,165.455109,161.443344
74,5.958607314841775,25.199,11.856,0.925,0.663,0.137,0.514,0.373,0.405,0.445,0.344,0.113,0.445,0.373,0.2,0.476,0.357,0.425,0.484,0.27,333.031,0.43,0.301,0.339,0.36,0.393,5.0,0.0004664,8.791,4.473,1.0,0.5885,6.50973421,63.608124,171.267609,146.385086
75,5.522878745280337,29.372,4.015,1.699,0.837,0.143,0.519,0.346,0.412,0.486,0.162,0.156,0.487,0.222,0.227,0.489,0.257,0.566,0.208,0.314,174.633,0.426,0.268,0.312,0.336,0.362,6.0,0.0005021,8.222,3.744,1.0,0.566762,4.51441865,45.578819,114.883591,111.547562
76,5.537602002101044,18.099,5.9,1.959,0.697,0.143,0.523,0.428,0.449,0.489,0.259,0.257,0.46,0.321,0.302,0.458,0.336,0.469,0.357,0.334,153.803,0.467,0.335,0.361,0.376,0.387,5.0,0.0004641,7.064,4.013,1.0,0.483235,3.28573587,49.703156,108.02771,115.20639
77,5.522878745280337,31.493,4.861,2.249,0.816,0.141,0.559,0.389,0.441,0.494,0.27,0.227,0.492,0.298,0.297,0.498,0.3,0.559,0.287,0.321,234.857,0.463,0.33,0.362,0.378,0.389,8.0,0.0004635,8.203,3.911,1.0,0.591205,4.69270562,55.591652,171.433395,105.646225
78,5.522878745280337,34.675,4.119,1.301,0.865,0.141,0.551,0.337,0.43,0.546,0.155,0.233,0.514,0.222,0.267,0.504,0.255,0.592,0.236,0.261,193.293,0.439,0.311,0.334,0.349,0.363,5.0,0.0004999,8.072,3.843,1.0,0.613284,6.20924495,39.087643,151.572342,108.543869
80,8.045757490560675,27.954,4.605,1.303,0.826,0.145,0.504,0.328,0.348,0.492,0.157,0.285,0.467,0.2,0.234,0.432,0.236,0.607,0.21,0.33,171.152,0.393,0.311,0.3,0.305,0.382,8.0,0.0004752,8.378,5.26,1.0,0.556443,7.51264242,51.111855,128.799255,90.649345
81,8.190440285364732,27.445,4.321,1.536,0.824,0.149,0.563,0.343,0.399,0.596,0.382,0.156,0.54,0.291,0.207,0.484,0.22,0.794,0.549,0.227,167.362,0.435,0.378,0.346,0.319,0.523,3.0,0.0004571,8.017,4.696,1.0,0.57211,1.55984462,61.557625,118.310944,82.243942
82,7.920818753952375,28.639,3.873,1.018,0.854,0.146,0.511,0.457,0.407,0.462,0.177,0.167,0.465,0.26,0.232,0.437,0.312,0.586,0.287,0.243,144.032,0.458,0.268,0.319,0.341,0.372,4.0,0.0004884,7.318,4.307,1.0,0.544256,3.43518725,53.849464,72.600143,78.611549
83,7.939302159646388,28.218,5.358,1.166,0.812,0.147,0.525,0.366,0.477,0.504,0.117,0.335,0.49,0.207,0.301,0.452,0.242,0.634,0.201,0.398,190.344,0.456,0.318,0.332,0.348,0.411,4.0,0.0005044,8.015,4.656,1.0,0.557365,3.32166483,39.461254,116.66967,59.657932
86,7.698970004336019,34.517,1.913,1.585,0.908,0.152,0.537,0.435,0.352,0.707,0.132,0.095,0.532,0.157,0.239,0.441,0.243,0.946,0.276,0.192,123.776,0.442,0.311,0.309,0.302,0.471,4.0,0.0004829,7.432,3.692,1.0,0.637839,6.23230968,53.626011,91.320938,77.219444
88,6.376750709602099,29.599,3.226,0.729,0.882,0.154,0.56,0.36,0.192,0.696,0.151,0.135,0.543,0.214,0.1,0.451,0.241,0.922,0.236,0.214,119.407,0.371,0.327,0.285,0.263,0.457,5.0,0.0004621,7.066,4.31,1.0,0.594197,5.24748124,42.829792,83.598846,101.661697
89,7.522878745280337,34.798,2.099,0.921,0.92,0.151,0.541,0.42,0.358,0.725,0.11,0.135,0.535,0.193,0.184,0.442,0.253,0.982,0.192,0.231,107.034,0.44,0.323,0.304,0.302,0.469,5.0,0.0004796,7.543,3.838,1.0,0.63638,6.07786867,49.866909,95.907639,68.257057
90,8.0,9.059,7.972,1.997,0.476,0.152,0.473,0.408,0.374,0.649,0.308,0.102,0.498,0.378,0.176,0.42,0.38,0.942,0.32,0.156,106.239,0.418,0.353,0.351,0.338,0.473,4.0,0.0004556,6.883,4.059,1.0,0.432175,4.70288985,40.412888,90.976547,82.731064
91,7.045757490560675,33.451,2.01,1.005,0.917,0.153,0.571,0.392,0.3,0.697,0.134,0.116,0.549,0.196,0.145,0.469,0.231,0.968,0.247,0.17,102.872,0.421,0.316,0.297,0.286,0.462,4.0,0.0004901,6.894,3.663,1.0,0.611423,5.53033026,48.235325,106.738129,70.994507
92,7.221848749616356,32.725,2.756,0.482,0.91,0.153,0.546,0.379,0.318,0.735,0.174,0.178,0.538,0.214,0.166,0.467,0.243,0.899,0.23,0.35,107.309,0.415,0.362,0.306,0.292,0.493,3.0,0.0004611,6.535,3.598,1.0,0.625902,4.37672521,56.581348,125.112,61.473133
93,5.229147988357856,16.81,4.215,1.759,0.738,0.157,0.533,0.477,0.384,0.77,0.329,0.204,0.538,0.321,0.223,0.453,0.326,1.006,0.289,0.322,107.834,0.464,0.434,0.361,0.334,0.539,6.0,0.0004674,6.108,3.363,1.0,0.493336,4.16767737,49.881596,78.802269,54.894501
94,7.522878745280337,32.694,2.997,0.846,0.895,0.152,0.551,0.472,0.361,0.767,0.222,0.116,0.555,0.269,0.168,0.475,0.31,0.93,0.28,0.182,128.191,0.461,0.369,0.331,0.327,0.464,7.0,0.0004888,7.086,3.932,1.0,0.635841,3.53332684,60.468521,95.418747,78.28067
