mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
61,6.3979400086720375,40.433,3.32,1.017,0.903,0.141,0.524,0.425,0.334,0.191,0.184,0.191,0.316,0.225,0.428,0.305,6.0,0.1680303,8.275,4.736,1.043,0.662034,4.41710588,47.024464,147.112946,117.823303
62,5.5003129173815966,37.883,2.451,1.585,0.904,0.146,0.619,0.342,0.45,0.155,0.161,0.238,0.26,0.296,0.47,0.281,6.0,0.2847112,7.508,4.674,1.036,0.610391,5.51923003,68.450043,165.635986,80.323059
63,6.0655015487564325,66.662,29.99,1.82,0.677,0.142,0.1,0.476,0.417,0.062,0.181,0.258,0.469,0.248,0.331,0.124,4.0,0.2244106,9.026,4.701,1.05,0.669848,5.11301032,108.861313,153.244125,102.89888
64,7.795880017344075,222.043,124.024,3.222,0.636,0.145,0.51,0.326,0.375,0.414,0.155,0.227,0.381,0.243,0.403,0.344,6.0,0.2556002,7.162,5.002,1.056,0.546851,5.97161688,109.565796,151.268555,95.085899
65,5.480172006224281,436.049,130.698,4.152,0.764,0.146,0.479,0.186,0.372,0.146,0.161,0.222,0.198,0.254,0.346,0.266,4.0,0.181756,7.479,3.851,1.012,0.546068,2.33052171,49.818409,184.337189,43.272011
66,7.698970004336019,28.978,3.51,2.768,0.822,0.143,0.479,0.476,0.387,0.325,0.159,0.229,0.416,0.267,0.448,0.346,8.0,0.1840371,7.982,4.903,1.05,0.597647,6.85906831,80.592194,129.442413,123.737167
67,5.896196279044043,32.3,3.614,0.809,0.88,0.148,0.563,0.494,0.313,0.213,0.158,0.182,0.349,0.197,0.456,0.291,6.0,0.1519437,7.226,3.75,1.012,0.578121,2.81023951,62.670486,176.40715,51.633347
68,6.832682665251824,22.107,9.587,0.858,0.679,0.145,0.537,0.492,0.424,0.298,0.134,0.213,0.389,0.228,0.485,0.345,6.0,0.2432497,7.696,4.468,1.047,0.558748,5.95966652,90.53035,98.443329,113.843246
69,5.610833915635467,160.117,34.327,1.424,0.817,0.147,0.271,0.627,0.398,0.452,0.17,0.218,0.496,0.348,0.432,0.254,4.0,0.188732,7.458,3.851,1.017,0.587774,2.77333903,58.577518,117.509933,104.83165
70,5.207608310501746,23.515,10.595,1.723,0.656,0.136,0.435,0.397,0.446,0.236,0.186,0.267,0.297,0.323,0.426,0.306,5.0,0.1602239,8.918,3.829,1.069,0.578826,9.0379359,41.944252,154.939087,140.052307
71,5.3979400086720375,29.683,4.699,3.815,0.777,0.137,0.439,0.268,0.424,0.207,0.183,0.256,0.23,0.263,0.377,0.265,5.0,0.3298998,8.969,4.485,1.025,0.592634,3.9624511,81.92514,159.485687,149.506775
73,5.301029995663981,13.35,10.618,2.606,0.502,0.137,0.523,0.579,0.456,0.582,0.192,0.282,0.463,0.289,0.519,0.386,4.0,0.390303,8.356,3.937,1.096,0.494134,9.1906402,79.139847,161.883423,162.168808
74,5.958607314841775,27.777,3.346,3.08,0.812,0.137,0.526,0.409,0.402,0.349,0.253,0.252,0.455,0.343,0.446,0.329,4.0,0.3357469,7.982,4.339,1.06,0.533991,4.48764083,64.634819,216.804169,92.020309
75,5.522878745280337,32.912,4.478,1.637,0.843,0.143,0.546,0.349,0.431,0.189,0.158,0.234,0.27,0.3,0.442,0.271,7.0,0.2732888,8.66,4.114,1.03,0.587852,3.98018786,58.016331,147.299393,127.895935
76,5.537602002101044,67.9,10.616,2.262,0.841,0.143,0.082,0.478,0.443,0.252,0.214,0.268,0.337,0.406,0.334,0.171,3.0,0.3246343,6.124,3.506,1.013,0.379326,2.65025405,51.191502,164.268005,80.758797
77,5.522878745280337,62.937,20.515,2.859,0.729,0.141,0.093,0.55,0.481,0.199,0.316,0.367,0.447,0.333,0.375,0.188,5.0,0.2461319,8.047,3.879,1.014,0.557202,3.07241605,73.170334,168.544571,99.922493
78,5.522878745280337,477.366,11.595,2.51,0.971,0.141,0.893,0.504,0.386,0.372,0.25,0.279,0.458,0.4,0.594,0.531,8.0,0.2764486,7.513,4.012,1.027,0.523625,2.12255143,67.380104,151.553131,110.779709
80,8.045757490560675,293.737,14.043,1.505,0.95,0.145,0.358,0.44,0.415,0.388,0.472,0.331,0.463,0.455,0.404,0.384,9.0,0.2187648,7.838,5.253,1.04,0.536536,5.36012227,50.653294,120.033981,126.057304
81,8.190440285364732,450.475,17.792,3.882,0.954,0.149,0.684,0.37,0.424,0.23,0.207,0.253,0.18,0.226,0.492,0.423,5.0,0.2610921,7.559,4.649,1.059,0.586203,2.93606252,46.488304,111.613152,60.680676
82,7.920818753952375,69.14,18.664,3.34,0.759,0.146,0.086,0.5,0.462,0.5,0.394,0.337,0.542,0.467,0.349,0.356,3.0,0.2985899,7.578,4.407,1.067,0.493187,8.86435969,56.289165,131.710281,92.633904
83,7.939302159646388,17.937,4.806,1.412,0.743,0.148,0.476,0.47,0.367,0.352,0.229,0.218,0.428,0.283,0.438,0.345,3.0,0.3052887,6.949,4.823,1.07,0.472108,9.39119525,76.692474,106.076424,57.72699
86,7.698970004336019,233.786,35.401,0.439,0.867,0.152,0.165,0.537,0.353,0.699,0.202,0.17,0.9,0.318,0.351,0.31,4.0,0.1580246,6.983,3.697,1.045,0.642569,5.81262317,38.313183,90.034454,99.932419
88,6.376750709602099,173.927,118.114,4.124,0.587,0.154,0.424,0.202,0.309,0.252,0.25,0.225,0.744,0.484,0.312,0.299,6.0,0.3137621,6.826,4.033,1.056,0.496422,5.34537027,44.996109,70.844078,93.46286
89,7.522878745280337,208.825,4.586,3.64,0.962,0.151,0.846,0.435,0.461,0.353,0.154,0.25,0.444,0.208,0.581,0.479,6.0,0.2611481,6.724,3.444,1.051,0.509881,4.67377432,55.000561,73.044182,60.878807
90,8.0,32.821,3.958,1.885,0.849,0.152,0.042,0.573,0.327,0.564,0.081,0.168,0.666,0.158,0.314,0.217,6.0,0.2257371,5.944,3.933,1.054,0.389219,7.45927728,63.861649,123.88649,110.247238
91,7.045757490560675,150.743,75.429,38.383,0.57,0.153,0.343,0.06,0.053,0.317,0.002,0.01,0.21,0.012,0.152,0.198,6.0,0.3703959,6.781,3.719,1.044,0.472322,3.46240049,74.773918,94.107704,99.798264
92,7.221848749616356,275.129,255.04,2.099,0.517,0.153,0.898,0.306,0.404,0.887,0.197,0.247,0.899,0.298,0.536,0.522,5.0,0.1390693,6.76,3.496,1.047,0.600675,6.79886786,45.841564,89.911194,61.510883
93,5.229147988357856,23.499,3.942,0.631,0.837,0.157,0.521,0.372,0.374,0.231,0.132,0.164,0.26,0.244,0.422,0.353,4.0,0.1761889,6.048,3.599,1.041,0.548432,6.47134142,54.701233,67.08696,64.848816
94,7.522878745280337,15.848,6.514,1.521,0.664,0.152,0.546,0.435,0.314,0.323,0.131,0.162,0.311,0.203,0.432,0.379,6.0,0.3110089,6.812,3.865,1.042,0.491038,6.52862669,55.422295,96.647583,68.356499
95,5.721246399047171,195.306,8.367,0.666,0.956,0.155,0.948,0.479,0.365,0.408,0.126,0.15,0.433,0.33,0.597,0.493,6.0,0.1469676,6.893,3.765,1.047,0.600479,3.87228054,43.293655,118.209885,77.736046
