mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
73,5.301029995663981,20.676,7.059,2.133,0.692,0.137,0.472,0.376,0.418,0.328,0.264,0.351,0.307,0.395,0.423,0.422,0.321,0.406,5.0,0.4276234,8.174,3.908,1.095,0.510685,8.14145151,74.227577,147.886261,150.393753
74,5.958607314841775,28.539,3.311,2.823,0.823,0.137,0.531,0.347,0.341,0.373,0.25,0.366,0.249,0.427,0.376,0.406,0.337,0.408,6.0,0.3037272,8.254,4.25,1.057,0.540106,5.19424351,75.055283,182.824921,100.24559
75,5.522878745280337,360.189,14.647,3.604,0.952,0.142,0.45,0.407,0.447,0.339,0.163,0.373,0.244,0.429,0.313,0.434,0.315,0.408,6.0,0.2474365,8.081,3.91,1.029,0.554294,3.35431233,50.414719,154.87352,97.816483
76,5.537602002101044,243.572,10.096,2.677,0.95,0.143,0.754,0.565,0.45,0.3,0.193,0.411,0.272,0.409,0.326,0.59,0.452,0.53,7.0,0.3260771,6.446,3.676,1.014,0.376296,1.64312389,54.090801,120.486427,119.641243
77,5.522878745280337,22.903,7.292,2.399,0.703,0.141,0.564,0.457,0.408,0.293,0.174,0.336,0.26,0.309,0.246,0.476,0.326,0.373,6.0,0.2007879,8.428,3.877,1.013,0.540219,3.08270058,52.113094,176.275299,90.247154
78,5.522878745280337,188.634,19.425,1.869,0.899,0.141,0.426,0.505,0.402,0.429,0.218,0.452,0.262,0.444,0.339,0.445,0.329,0.369,7.0,0.2067922,8.067,3.912,1.028,0.53438,4.01459667,43.131264,139.925537,106.965874
80,8.045757490560675,116.336,8.216,4.896,0.899,0.145,0.158,0.467,0.385,0.622,0.199,0.358,0.308,0.469,0.267,0.337,0.334,0.311,8.0,0.3966566,7.166,5.43,1.039,0.413547,1.27406542,53.239059,157.71254,124.285637
81,8.190440285364732,240.142,112.326,7.841,0.666,0.149,0.732,0.114,0.544,0.913,0.571,0.139,0.559,0.662,0.379,0.463,0.665,0.604,5.0,0.3154715,7.273,4.81,1.058,0.525415,6.47230053,72.49118,119.968376,71.32328
82,7.920818753952375,90.718,7.228,3.927,0.89,0.146,0.141,0.369,0.348,0.352,0.157,0.292,0.214,0.285,0.237,0.286,0.241,0.239,3.0,0.4222913,6.714,4.581,1.068,0.3877,5.02371768,54.728745,84.195999,70.998886
83,7.939302159646388,602.742,198.338,103.233,0.667,0.147,0.662,0.348,0.231,0.395,0.091,0.35,0.143,0.316,0.117,0.414,0.407,0.407,6.0,0.2514891,8.07,4.903,1.075,0.540438,8.64329681,45.426346,122.316872,72.750473
