mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
62,5.5003129173815966,139.448,7.044,1.246,0.944,0.146,0.254,0.432,0.346,0.278,0.131,0.347,0.181,0.348,0.228,0.344,0.201,5.0,0.2087319,7.584,4.842,1.035,0.479627,6.78831685,89.643524,190.1604,73.160347
63,6.0655015487564325,199.291,6.7,2.421,0.956,0.14,0.867,0.337,0.393,0.219,0.152,0.27,0.227,0.298,0.23,0.533,0.408,6.0,0.1612165,8.684,4.568,1.049,0.673458,3.78964537,57.94249,138.566376,84.995399
64,7.795880017344075,31.979,4.528,1.521,0.841,0.144,0.503,0.509,0.328,0.291,0.098,0.319,0.167,0.419,0.152,0.446,0.312,6.0,0.2563576,8.123,4.936,1.057,0.612979,7.832206,69.780853,116.474792,81.013367
65,5.480172006224281,297.113,21.791,2.328,0.925,0.146,0.286,0.405,0.363,0.371,0.203,0.386,0.242,0.383,0.286,0.351,0.25,6.0,0.2122874,7.649,3.784,1.012,0.582269,2.92667984,42.007584,139.413788,70.078674
66,7.698970004336019,190.718,3.543,1.015,0.977,0.144,0.758,0.458,0.331,0.183,0.096,0.254,0.16,0.269,0.229,0.516,0.316,5.0,0.1952445,8.02,4.266,1.051,0.603857,3.8396283,60.61451,142.204437,120.65213
67,5.896196279044043,38.63,1.777,1.572,0.92,0.148,0.58,0.398,0.3,0.184,0.095,0.234,0.145,0.238,0.175,0.426,0.265,5.0,0.1768293,7.259,3.817,1.012,0.620421,4.39885323,60.77042,127.440674,59.366959
68,6.832682665251824,204.807,4.73,1.339,0.971,0.145,0.536,0.435,0.344,0.263,0.197,0.292,0.21,0.321,0.326,0.438,0.357,5.0,0.22136,7.402,4.568,1.049,0.560569,8.00880136,87.949097,147.662552,82.210098
69,5.610833915635467,350.329,124.989,3.918,0.731,0.147,0.318,0.478,0.447,0.352,0.275,0.454,0.352,0.37,0.367,0.414,0.273,8.0,0.2187385,7.079,4.018,1.018,0.544768,5.69803972,42.341663,134.665771,99.450844
70,5.207608310501746,138.097,19.217,6.931,0.841,0.136,0.195,0.049,0.412,0.026,0.115,0.031,0.26,0.041,0.35,0.219,0.094,5.0,0.3143123,8.999,3.794,1.069,0.536927,4.77776833,64.865257,173.688385,146.226517
71,5.3979400086720375,125.303,38.555,3.726,0.748,0.136,0.087,0.1,0.48,0.06,0.495,0.082,0.457,0.103,0.448,0.222,0.209,7.0,0.3283558,8.904,4.462,1.026,0.585925,6.21839488,78.476967,154.260941,120.313171
73,5.301029995663981,113.564,13.347,5.056,0.861,0.137,0.081,0.37,0.402,0.327,0.171,0.365,0.261,0.425,0.236,0.284,0.216,7.0,0.3879003,8.694,3.902,1.095,0.496745,9.57811982,55.496727,142.818253,144.341614
74,5.958607314841775,349.377,224.631,3.438,0.605,0.137,0.694,0.58,0.416,0.926,0.188,0.846,0.252,0.536,0.347,0.563,0.648,5.0,0.3554512,8.442,3.733,1.073,0.504079,2.52513704,64.160568,158.868195,118.446716
75,5.522878745280337,11.085,5.585,3.221,0.557,0.142,0.576,0.5,0.434,0.426,0.186,0.487,0.262,0.509,0.278,0.503,0.327,6.0,0.4329143,6.998,3.912,1.031,0.400925,2.5189895,58.482849,141.735718,104.06562
76,5.537602002101044,33.257,3.258,1.533,0.874,0.143,0.565,0.474,0.423,0.209,0.163,0.298,0.227,0.333,0.331,0.487,0.283,7.0,0.3361225,7.827,3.875,1.014,0.578726,2.12388796,53.741421,130.56395,79.080566
77,5.522878745280337,14.902,11.84,1.737,0.523,0.141,0.523,0.497,0.405,0.27,0.217,0.368,0.249,0.343,0.289,0.475,0.327,5.0,0.3573277,8.205,3.945,1.013,0.498516,3.23801136,67.340195,152.102127,94.894981
78,5.522878745280337,189.417,8.576,1.778,0.948,0.141,0.891,0.395,0.306,0.171,0.064,0.26,0.124,0.244,0.192,0.53,0.372,6.0,0.2513317,8.073,3.91,1.03,0.575664,3.79292245,64.07798,157.917374,107.410408
80,8.045757490560675,12.915,5.477,2.862,0.608,0.146,0.456,0.399,0.364,0.328,0.136,0.313,0.214,0.341,0.214,0.406,0.329,5.0,0.362082,7.18,5.039,1.036,0.445883,4.47728515,55.524475,112.83963,124.900208
81,8.190440285364732,22.679,4.558,1.518,0.789,0.149,0.491,0.35,0.352,0.214,0.265,0.223,0.257,0.324,0.287,0.397,0.364,4.0,0.1442487,7.354,4.755,1.057,0.545154,4.62209995,48.753323,89.605583,71.359879
82,7.920818753952375,22.085,6.987,3.388,0.68,0.147,0.032,0.524,0.419,0.26,0.323,0.335,0.314,0.396,0.3,0.325,0.226,5.0,0.4171807,6.33,4.206,1.065,0.366463,4.8725161,62.364811,100.535683,78.48037
83,7.939302159646388,235.223,114.894,2.76,0.667,0.148,0.904,0.186,0.373,0.204,0.144,0.176,0.22,0.163,0.214,0.488,0.413,4.0,0.2460068,7.429,4.864,1.07,0.490063,9.07156579,46.437424,84.290192,87.089882
86,7.698970004336019,25.554,4.657,1.274,0.812,0.152,0.559,0.445,0.413,0.317,0.136,0.312,0.195,0.32,0.223,0.473,0.38,6.0,0.2378059,6.985,3.797,1.045,0.568728,5.80561017,60.789028,94.612228,107.312096
88,6.376750709602099,124.689,7.305,1.863,0.932,0.154,0.227,0.503,0.515,0.727,0.147,0.491,0.231,0.838,0.283,0.415,0.358,5.0,0.4573598,5.672,4.067,1.058,0.391116,6.15266341,55.964573,61.595978,85.849037
89,7.522878745280337,460.457,7.525,1.948,0.98,0.151,0.949,0.391,0.461,0.222,0.216,0.23,0.306,0.233,0.286,0.601,0.477,7.0,0.2445416,6.905,3.764,1.047,0.574296,6.78555619,48.096893,99.638672,68.567924
90,8.0,195.038,6.965,2.005,0.956,0.152,0.389,0.489,0.427,0.466,0.163,0.418,0.225,0.441,0.321,0.435,0.361,6.0,0.1578182,6.315,3.952,1.049,0.427639,5.87142782,56.66732,87.452492,105.035278
91,7.045757490560675,337.547,6.319,1.174,0.978,0.153,0.669,0.329,0.436,0.251,0.105,0.245,0.186,0.289,0.234,0.478,0.415,2.0,0.1797905,7.296,3.69,1.045,0.623187,4.57463209,70.0317,83.1437,72.541687
92,7.221848749616356,115.523,6.239,1.26,0.939,0.153,0.253,0.447,0.396,0.459,0.13,0.373,0.198,0.691,0.202,0.365,0.273,7.0,0.1723187,6.662,3.497,1.047,0.555936,5.51920653,81.288399,95.309486,103.117538
93,5.229147988357856,55.906,17.182,1.83,0.746,0.159,0.068,0.495,0.327,0.002,0.114,0.049,0.159,0.031,0.201,0.297,0.108,6.0,0.1650864,5.885,3.664,1.042,0.533586,3.45367744,69.436623,83.321335,69.914322
94,7.522878745280337,23.452,3.22,2.305,0.809,0.152,0.558,0.466,0.398,0.306,0.14,0.318,0.21,0.359,0.218,0.474,0.401,4.0,0.1942791,7.318,4.032,1.042,0.554543,4.35561737,50.027199,118.650215,86.753792
95,5.721246399047171,397.157,4.126,1.498,0.986,0.155,0.8,0.408,0.291,0.262,0.171,0.264,0.192,0.476,0.276,0.5,0.369,5.0,0.1993182,6.75,3.779,1.044,0.521607,4.02417873,52.169643,81.02317,67.939201
100,4.721246399047171,19.378,5.262,1.317,0.747,0.151,0.643,0.53,0.454,0.282,0.129,0.37,0.217,0.378,0.27,0.542,0.369,5.0,0.1591438,6.815,3.114,1.022,0.497382,1.45438484,58.41217,78.900925,52.465179
101,5.721246399047171,30.013,2.804,1.321,0.879,0.144,0.551,0.497,0.435,0.316,0.206,0.378,0.267,0.443,0.363,0.495,0.364,6.0,0.3420606,7.163,3.549,1.02,0.574368,2.07712879,41.138844,173.608658,207.251419
103,6.214670164989233,17.711,5.77,2.5,0.682,0.146,0.584,0.517,0.423,0.341,0.159,0.367,0.236,0.37,0.225,0.508,0.45,6.0,0.2277728,7.518,4.715,1.038,0.52395,7.42102941,44.436279,122.966644,118.009079
104,8.0,497.235,140.157,55.456,0.718,0.146,0.738,0.428,0.124,0.553,0.74,0.401,0.17,0.934,0.52,0.43,0.695,7.0,0.1998196,7.327,4.849,1.042,0.602783,0.579058596,47.737976,148.318436,89.703735
105,7.096910013008056,236.351,8.495,4.437,0.948,0.146,0.258,0.455,0.425,0.849,0.326,0.604,0.335,1.069,0.314,0.38,0.426,5.0,0.3086994,7.451,5.017,1.047,0.459173,6.32918638,62.794937,119.512497,78.127838
106,6.614393726401688,136.169,9.188,1.288,0.929,0.145,0.237,0.46,0.354,0.376,0.201,0.363,0.211,0.355,0.303,0.35,0.24,5.0,0.3421906,7.18,5.052,1.039,0.515121,4.37898509,53.020115,112.709236,107.236389
107,6.431798275933005,359.753,7.457,3.501,0.97,0.145,0.668,0.336,0.492,0.452,0.181,0.302,0.297,0.658,0.248,0.499,0.452,8.0,0.2840483,7.75,5.217,1.064,0.556995,2.1901106,70.476288,94.97316,95.123962
108,6.494850021680094,31.2,19.031,3.571,0.58,0.143,0.093,0.085,0.404,0.002,0.163,0.007,0.242,0.011,0.262,0.194,0.219,6.0,0.3209715,8.406,4.749,1.055,0.569346,7.44921727,105.679443,163.05188,107.685745
109,7.096910013008056,25.358,4.044,2.444,0.796,0.143,0.468,0.429,0.459,0.271,0.202,0.309,0.277,0.335,0.303,0.452,0.324,7.0,0.3214806,7.99,4.951,1.042,0.556032,5.01513601,36.206306,131.912231,105.157013
110,6.376750709602099,389.421,22.886,3.25,0.937,0.147,0.778,0.028,0.443,0.004,0.016,0.008,0.229,0.012,0.376,0.416,0.32,7.0,0.1414751,7.292,4.486,1.046,0.535949,4.61632425,43.522594,123.393028,89.67247
112,5.037630664329979,9.339,7.358,3.251,0.468,0.144,0.419,0.47,0.296,0.303,0.157,0.338,0.194,0.346,0.214,0.395,0.369,7.0,0.3407221,7.079,5.153,1.05,0.447234,7.62568518,72.79686,166.702347,104.718979
