mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,74,75,76,84,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
43,8.0,21.776,4.006,0.883,0.817,0.157,0.555,0.411,0.294,0.373,0.26,0.14,0.425,0.288,0.18,0.378,0.358,0.246,109.982,0.42,0.258,0.298,0.327,8.0,0.0004794,6.327,3.741,1.0,0.4644,4.99540822,57.069809,140.674072,51.177666
44,6.823908740944319,26.358,5.653,0.444,0.812,0.153,0.574,0.448,0.341,0.552,0.352,0.199,0.517,0.361,0.171,0.668,0.435,0.378,163.201,0.454,0.368,0.349,0.493,5.0,0.0004725,6.877,4.513,1.0,0.55288,1.99990008,70.635941,170.670349,66.804939
45,6.920818753952375,39.056,2.277,0.858,0.926,0.151,0.573,0.463,0.32,0.434,0.201,0.201,0.486,0.253,0.203,0.445,0.344,0.271,124.399,0.452,0.279,0.314,0.353,6.0,0.0004974,7.067,3.144,1.0,0.600525,2.69383327,95.276978,139.587143,98.579613
46,8.0,15.708,6.04,0.976,0.691,0.155,0.504,0.341,0.299,0.377,0.211,0.092,0.428,0.252,0.146,0.435,0.28,0.165,116.097,0.382,0.227,0.275,0.293,6.0,0.0004498,6.067,4.515,1.0,0.432131,3.30958698,66.301132,125.034111,94.640648
47,8.0,18.191,5.955,1.24,0.717,0.153,0.532,0.355,0.381,0.638,0.193,0.295,0.498,0.252,0.268,0.803,0.242,0.393,138.277,0.423,0.375,0.339,0.479,5.0,0.0005328,6.772,3.11,1.0,0.500158,3.18813904,71.865677,133.882065,78.859451
48,8.0,14.12,6.509,1.275,0.645,0.155,0.463,0.414,0.36,0.6,0.187,0.169,0.455,0.281,0.204,0.738,0.246,0.271,118.21,0.412,0.319,0.313,0.419,4.0,0.0004945,6.673,3.076,1.0,0.460791,5.00893129,70.016891,136.051926,60.881687
49,8.0,15.654,6.222,1.054,0.683,0.155,0.506,0.348,0.378,0.576,0.182,0.331,0.481,0.244,0.241,0.692,0.242,0.567,120.456,0.411,0.363,0.322,0.5,5.0,0.0005045,6.983,3.076,1.0,0.467396,2.91152891,75.301857,142.385498,71.696266
50,7.698970004336019,16.889,5.993,1.431,0.695,0.153,0.502,0.408,0.426,0.864,0.18,0.195,0.542,0.273,0.24,0.89,0.249,0.239,133.962,0.445,0.413,0.352,0.459,2.0,0.0004808,6.941,3.11,1.0,0.509929,2.90050759,66.473854,125.47596,68.472511
51,7.698970004336019,15.642,5.984,0.957,0.693,0.155,0.505,0.347,0.337,0.412,0.283,0.085,0.439,0.271,0.156,0.486,0.377,0.156,114.303,0.397,0.26,0.289,0.34,3.0,0.0004896,5.982,2.939,1.0,0.445147,4.37811039,69.109306,135.473663,107.697243
52,7.698970004336019,18.498,6.203,0.87,0.723,0.153,0.525,0.36,0.361,0.659,0.236,0.249,0.502,0.268,0.228,0.829,0.29,0.383,136.221,0.415,0.381,0.333,0.501,3.0,0.0005075,6.569,3.076,1.0,0.515877,2.09956252,78.441925,148.632263,101.557358
53,7.698970004336019,15.304,6.36,1.194,0.669,0.156,0.505,0.347,0.363,0.651,0.262,0.132,0.501,0.265,0.187,0.797,0.35,0.218,123.215,0.405,0.348,0.318,0.455,3.0,0.000463,6.726,2.973,1.0,0.484713,4.83115535,92.47052,180.550171,102.256371
54,7.397940008672037,17.977,6.202,1.331,0.705,0.153,0.557,0.364,0.379,0.886,0.237,0.226,0.592,0.264,0.221,0.872,0.353,0.24,143.69,0.433,0.45,0.359,0.488,5.0,0.0004673,7.246,3.007,1.0,0.529524,5.81394721,79.740746,136.301422,75.844223
55,8.0,22.776,5.426,1.38,0.77,0.151,0.549,0.313,0.398,0.474,0.253,0.158,0.469,0.249,0.219,0.491,0.36,0.219,162.508,0.42,0.295,0.312,0.357,8.0,0.0005023,7.749,3.144,1.0,0.517255,3.83963745,62.439251,161.006668,96.119995
56,5.300162274132754,19.86,6.624,0.986,0.723,0.152,0.488,0.327,0.333,0.323,0.243,0.085,0.382,0.254,0.153,0.372,0.293,0.172,157.662,0.383,0.217,0.263,0.279,3.0,0.0004884,7.309,4.517,1.0,0.471947,4.71438555,81.586433,174.57222,112.653816
57,4.500312917381596,15.545,8.638,1.522,0.605,0.15,0.464,0.367,0.384,0.591,0.174,0.294,0.451,0.24,0.273,0.759,0.193,0.445,171.094,0.405,0.353,0.321,0.466,2.0,0.000461,7.412,4.25,1.0,0.49483,4.98936388,80.994301,190.153641,113.552666
58,5.100179497572904,18.173,5.607,1.032,0.732,0.152,0.461,0.364,0.365,0.401,0.252,0.239,0.375,0.273,0.251,0.484,0.312,0.348,126.447,0.397,0.298,0.3,0.381,5.0,0.0004819,7.221,4.045,1.0,0.469415,5.30867961,75.886093,195.338287,104.197617
59,4.508638306165727,18.026,6.296,1.592,0.696,0.15,0.481,0.352,0.31,0.707,0.187,0.258,0.462,0.236,0.245,0.783,0.232,0.273,152.197,0.381,0.384,0.315,0.429,6.0,0.0005141,7.916,3.976,1.0,0.515924,2.36546536,87.662346,174.69899,79.919632
