mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
77,5.537602002101044,0.85,156.676,7.572,3.615,0.933,0.156,0.285,0.538,0.444,0.141,0.552,0.343,0.479,0.414,0.813,0.282,0.345,6.0,0.0362174,5.738,3.327,1.052,0.423541,4.15795313,74.262238,93.130928,105.774223
78,10.045757490560677,7.88,283.58,4.716,4.38,0.969,0.152,0.831,0.431,0.333,0.705,0.56,0.191,0.454,0.202,0.421,0.228,0.485,9.0,0.1348259,7.123,2.939,1.058,0.507657,5.16234422,85.295227,89.282036,173.344452
79,7.136677139879544,7.29,9.648,7.572,0.588,0.542,0.161,0.451,0.461,0.244,0.382,0.309,0.049,0.388,0.098,0.348,0.105,0.247,11.0,0.1022006,5.737,4.352,1.071,0.376864,6.63504293,93.949539,91.773598,89.712021
80,7.619788758288394,2.11,241.354,9.642,1.152,0.957,0.158,0.497,0.489,0.406,0.46,0.281,0.148,0.38,0.206,0.421,0.225,0.296,9.0,0.0868455,5.393,3.486,1.013,0.376434,2.81463305,104.864212,122.401802,87.862862
81,6.505845405981557,3.87,90.668,5.242,2.71,0.919,0.156,0.217,0.501,0.457,0.178,0.238,0.189,0.329,0.275,0.302,0.232,0.201,9.0,0.1179815,6.106,2.734,1.128,0.413113,8.50430924,83.129662,112.470528,78.989334
82,7.292429823902063,7.11,13.268,7.661,0.608,0.616,0.159,0.542,0.461,0.204,0.355,0.22,0.043,0.319,0.085,0.283,0.096,0.206,7.0,0.2009237,6.082,3.042,1.022,0.40588,2.90756437,101.789101,88.409615,77.209358
83,6.767003889607846,1.59,176.969,12.397,1.448,0.927,0.159,0.22,0.497,0.338,0.155,0.275,0.235,0.361,0.273,0.395,0.17,0.222,7.0,0.0434429,5.229,2.859,1.139,0.395167,9.71357491,57.92239,81.465248,53.496891
84,6.899629454882437,1.55,10.892,9.0,0.606,0.531,0.159,0.525,0.514,0.366,0.283,0.21,0.29,0.323,0.255,0.326,0.244,0.261,5.0,0.1374991,6.061,3.094,1.111,0.38436,3.48925907,112.973938,106.260345,57.711079
85,7.481486060122112,2.02,391.807,151.338,0.903,0.72,0.159,0.66,0.285,0.368,0.526,0.224,0.539,0.251,0.305,0.128,0.386,0.43,5.0,0.109284,6.514,3.094,1.075,0.439015,10.2747421,97.134399,94.151527,66.396301
86,7.356547323513812,3.4,157.506,5.803,1.043,0.958,0.159,0.144,0.372,0.418,0.326,0.203,0.411,0.276,0.361,0.236,0.428,0.313,9.0,0.1526902,6.498,3.156,1.106,0.443034,9.80568856,74.393173,85.320099,67.529305
