mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,107,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
87,7.318758762624412,165.915,7.773,2.106,0.944,0.159,0.272,0.411,0.394,0.122,0.476,0.178,0.394,0.254,0.412,0.355,0.359,0.259,4546.507,8.0,0.1023147,6.587,3.299,1.112,0.413499,11.9506191,58.897789,87.949661,72.923912
88,8.096910013008056,11.748,5.345,1.845,0.62,0.159,0.609,0.497,0.519,0.745,0.393,0.281,0.39,0.334,0.429,0.334,0.541,0.473,229.109,9.0,0.1300995,6.678,3.287,1.134,0.420641,8.85274712,86.161728,101.32888,59.325359
89,6.94692155651658,221.577,112.337,4.655,0.654,0.159,0.298,0.259,0.426,0.136,0.071,0.481,0.153,0.477,0.182,0.43,0.328,0.229,142661.165,7.0,0.2189505,6.142,3.327,1.14,0.386246,8.99824329,67.658691,112.998108,91.510994
90,6.665546248849069,72.808,11.113,1.355,0.854,0.156,0.066,0.573,0.45,0.008,0.031,0.332,0.358,0.316,0.423,0.352,0.363,0.124,2104.801,11.0,0.1567294,6.229,2.889,1.153,0.418691,9.88785141,63.489304,73.996017,59.347401
91,6.906578314837765,18.014,5.422,1.709,0.716,0.156,0.602,0.533,0.469,0.4,0.287,0.383,0.374,0.345,0.386,0.394,0.535,0.357,329.803,10.0,0.0695951,6.679,3.459,1.175,0.44605,10.5364792,104.840469,97.544235,83.735504
92,5.932557157223619,18.505,7.218,1.137,0.689,0.153,0.628,0.502,0.468,0.421,0.24,0.422,0.345,0.371,0.352,0.371,0.532,0.361,341.563,11.0,0.1132477,6.61,4.114,1.133,0.454746,9.94500296,78.903961,118.072586,71.591766
93,7.173925197299173,161.352,9.416,4.642,0.92,0.153,0.255,0.514,0.432,0.164,0.426,0.239,0.363,0.359,0.353,0.353,0.4,0.276,9540.789,14.0,0.0964323,6.893,4.838,1.076,0.460732,7.39786505,86.253326,131.383545,68.041351
94,7.769551078621726,24.616,3.034,1.692,0.839,0.151,0.535,0.333,0.396,0.344,0.213,0.23,0.239,0.257,0.296,0.258,0.421,0.262,277.108,6.0,0.1123678,7.078,4.865,1.142,0.484923,8.50126335,107.551689,114.459122,65.46196
95,5.823908740944319,17.909,8.487,1.997,0.631,0.151,0.621,0.392,0.46,0.393,0.201,0.34,0.272,0.321,0.295,0.316,0.491,0.311,536.6,10.0,0.2051429,7.222,4.549,1.179,0.468169,12.6551883,66.314331,112.640411,114.881714
96,5.881404634776238,258.104,8.922,3.835,0.953,0.151,0.864,0.49,0.52,0.927,0.326,0.297,0.401,0.392,0.408,0.381,0.625,0.517,12428.258,9.0,0.0804362,7.134,4.548,1.179,0.512031,11.8444145,93.800743,118.956146,51.95274
97,6.218244625347531,228.047,4.795,1.661,0.972,0.156,0.851,0.233,0.382,0.862,0.121,0.312,0.106,0.41,0.118,0.395,0.489,0.432,3531.371,10.0,0.0908856,6.719,4.569,1.093,0.477377,12.2364711,74.040497,995.335327,84.366852
98,6.471083299722345,59.706,17.072,3.12,0.747,0.151,0.112,0.565,0.301,0.051,0.299,0.16,0.415,0.217,0.287,0.276,0.326,0.17,4518.715,11.0,0.1202279,6.863,4.617,1.144,0.519802,9.0924004,85.282875,100.874786,74.527504
99,6.586700235918748,130.397,5.117,0.943,0.956,0.165,0.167,0.547,0.499,0.264,0.239,0.306,0.306,0.381,0.325,0.42,0.404,0.27,1560.654,6.0,0.0313939,4.876,4.399,1.05,0.331102,5.11726227,69.078934,1010.650757,93.571106
100,6.698970004336019,11.997,3.625,0.817,0.73,0.168,0.593,0.409,0.223,0.447,0.279,0.283,0.273,0.179,0.266,0.208,0.408,0.336,108.247,7.0,0.0782443,5.238,3.223,1.029,0.374649,3.07265604,40.670334,89.971344,58.253628
101,6.6020599913279625,252.391,6.902,1.393,0.968,0.168,0.721,0.409,0.375,0.826,0.562,0.308,0.421,0.278,0.494,0.309,0.502,0.565,4790.256,10.0,0.193234,5.39,3.1,1.039,0.369071,5.70874902,53.00399,71.657082,50.413498
102,6.070581074285707,12.282,4.401,1.954,0.659,0.162,0.601,0.378,0.443,0.336,0.279,0.217,0.273,0.252,0.274,0.305,0.474,0.277,210.954,8.0,0.17425,5.797,3.269,1.026,0.375418,1.84689419,52.058304,88.93351,33.538818
103,7.356547323513812,182.431,9.895,3.663,0.931,0.158,0.366,0.363,0.447,0.209,0.417,0.349,0.296,0.325,0.278,0.354,0.392,0.325,9318.091,7.0,0.1434173,6.403,3.384,1.053,0.420667,6.64165034,72.174606,118.349564,56.083939
104,7.00436480540245,10.85,4.411,0.88,0.672,0.167,0.602,0.421,0.365,0.398,0.367,0.075,0.314,0.152,0.293,0.178,0.463,0.28,119.544,6.0,0.1272967,5.706,3.751,1.016,0.36119,2.65381839,53.376408,104.728027,54.163925
105,6.920818753952375,88.373,9.49,1.204,0.892,0.167,0.081,0.58,0.356,0.059,0.334,0.507,0.457,0.296,0.448,0.342,0.339,0.3,2064.822,6.0,0.1726667,5.445,2.415,1.024,0.394486,4.60755667,49.240932,85.610512,39.686497
