mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
54,7.397940008672037,129.523,9.098,5.678,0.898,0.153,0.109,0.493,0.384,0.41,0.453,0.281,0.482,0.29,0.585,0.351,0.329,0.381,2.0,0.2237667,7.817,3.178,1.049,0.511781,5.07127132,49.759502,150.866516,74.870453
55,8.0,323.917,7.615,5.142,0.962,0.151,0.937,0.473,0.424,0.976,0.304,0.34,0.316,0.369,0.419,0.328,0.611,0.54,5.0,0.2238777,7.325,2.973,1.028,0.499606,4.41848494,67.403656,167.890335,75.880043
56,5.300162274132754,243.816,8.036,1.695,0.962,0.152,0.858,0.473,0.491,0.841,0.26,0.222,0.297,0.291,0.306,0.344,0.608,0.441,3.0,0.2397412,6.568,4.346,1.03,0.432976,4.48149041,89.095459,182.558441,90.719269
57,4.500312917381596,114.799,15.452,2.267,0.866,0.15,0.129,0.518,0.406,0.072,0.64,0.259,0.519,0.301,0.788,0.302,0.351,0.324,4.0,0.2065446,7.271,4.216,1.041,0.511955,7.00690407,62.052578,193.504181,82.200699
58,5.100179497572904,276.034,11.327,1.459,0.956,0.152,0.973,0.41,0.276,0.995,0.353,0.18,0.345,0.177,0.411,0.29,0.553,0.509,3.0,0.3676553,5.754,4.079,1.086,0.402204,9.68206609,87.654762,162.799911,102.846771
59,4.508638306165727,254.931,11.008,5.164,0.94,0.15,0.662,0.553,0.559,0.823,0.388,0.308,0.487,0.386,0.453,0.346,0.591,0.507,4.0,0.4219107,6.338,4.147,1.115,0.428223,9.57286858,85.590744,163.254852,86.709549
60,5.300162274132754,21.214,7.807,1.245,0.701,0.148,0.542,0.329,0.428,0.454,0.198,0.167,0.233,0.236,0.259,0.276,0.433,0.273,4.0,0.1875663,7.588,4.147,1.031,0.512198,4.73188003,63.427666,161.93457,104.778366
61,6.823908740944319,141.111,69.054,4.045,0.659,0.153,0.301,0.06,0.521,0.447,0.004,0.032,0.013,0.259,0.013,0.282,0.294,0.161,5.0,0.2344173,6.956,5.381,1.042,0.440097,4.28176061,77.925949,188.779449,102.836067
62,6.508638306165727,65.38,10.219,1.087,0.853,0.153,0.097,0.425,0.426,0.107,0.45,0.21,0.438,0.249,0.441,0.315,0.316,0.256,4.0,0.2030567,6.794,2.939,1.053,0.489932,6.11805157,67.851212,134.109589,97.499184
63,7.301029995663981,22.773,6.146,1.57,0.747,0.149,0.552,0.32,0.4,0.454,0.31,0.174,0.261,0.23,0.409,0.274,0.424,0.313,7.0,0.0826746,7.697,3.212,1.04,0.524214,4.03113321,63.764481,165.925507,105.458763
64,6.0,15.607,5.932,1.712,0.671,0.151,0.454,0.444,0.393,0.649,0.36,0.175,0.343,0.239,0.517,0.232,0.43,0.395,5.0,0.2059373,7.336,4.479,1.054,0.493287,5.47341325,63.526562,173.127914,109.607468
65,5.903089986991944,15.064,6.551,0.962,0.667,0.155,0.501,0.365,0.299,0.387,0.401,0.106,0.322,0.158,0.347,0.193,0.389,0.298,4.0,0.1001409,6.959,3.212,1.03,0.451655,5.12158319,97.849892,177.113678,87.959518
66,5.600326278518962,259.18,8.68,4.495,0.952,0.153,0.969,0.312,0.405,1.053,0.227,0.315,0.246,0.312,0.24,0.316,0.562,0.532,2.0,0.1127526,6.769,3.007,1.037,0.520919,2.92831213,64.522736,128.171478,80.052284
67,6.0,64.86,8.71,5.958,0.816,0.155,0.061,0.451,0.34,0.063,0.676,0.31,0.416,0.287,0.652,0.274,0.284,0.35,3.0,0.1128804,6.943,3.042,1.035,0.496717,3.0480314,67.199478,163.239273,103.490654
68,5.400116927926312,12.193,4.435,2.35,0.642,0.153,0.452,0.433,0.374,0.577,0.416,0.328,0.373,0.295,0.344,0.268,0.42,0.44,7.0,0.448146,7.168,2.939,1.084,0.43641,9.16471234,75.804779,142.885147,77.523247
69,6.102372908709558,22.114,5.741,1.04,0.765,0.151,0.531,0.326,0.176,0.499,0.309,0.062,0.279,0.096,0.333,0.117,0.344,0.29,7.0,0.0796575,7.166,3.178,1.028,0.524958,4.83814937,85.212349,150.577606,88.878136
70,7.301029995663981,244.411,118.98,11.357,0.652,0.153,0.337,0.118,0.42,0.269,0.031,0.31,0.055,0.355,0.06,0.336,0.292,0.204,5.0,0.203038,6.537,4.241,1.018,0.43104,4.26086754,66.779091,176.235077,92.190407
71,7.397940008672037,19.301,7.756,1.046,0.687,0.151,0.539,0.384,0.345,0.664,0.154,0.141,0.24,0.192,0.187,0.221,0.423,0.32,5.0,0.2149084,7.515,3.076,1.031,0.517344,2.09596163,62.64122,134.507355,86.362801
72,5.096910013008056,193.411,4.154,1.929,0.97,0.15,0.706,0.447,0.421,0.583,0.26,0.156,0.345,0.216,0.454,0.312,0.524,0.333,9.0,0.1625962,6.521,3.178,1.066,0.496492,4.05181474,91.279236,176.118408,115.387856
73,7.472284193781353,29.241,19.529,1.194,0.585,0.165,0.038,0.516,0.385,0.714,0.001,0.082,0.007,0.182,0.018,0.248,0.313,0.266,6.0,0.1744314,5.587,4.844,1.09,0.479854,6.35928811,64.588791,116.784523,162.233292
74,7.657577319177793,9.383,7.588,0.882,0.526,0.16,0.428,0.482,0.293,0.255,0.283,0.065,0.388,0.123,0.394,0.142,0.401,0.201,7.0,0.1456288,5.404,4.665,1.06,0.369448,4.3511824,43.347744,79.717529,34.987122
75,5.985479461242076,33.496,17.434,7.034,0.578,0.153,0.03,0.571,0.389,0.234,0.003,0.005,0.01,0.278,0.051,0.347,0.33,0.081,6.0,0.1081058,6.828,2.631,1.133,0.468477,4.85044482,116.062714,86.800293,79.395866
76,6.638272163982407,20.784,2.685,0.96,0.851,0.154,0.562,0.375,0.416,0.719,0.267,0.179,0.297,0.237,0.359,0.289,0.451,0.389,7.0,0.247406,6.103,4.651,1.09,0.493623,7.97943,73.420425,103.297775,68.294693
77,5.537602002101044,224.647,6.587,1.212,0.966,0.156,0.641,0.442,0.343,0.811,0.455,0.108,0.393,0.179,0.592,0.156,0.475,0.458,6.0,0.1783834,5.236,3.395,1.106,0.36027,5.81584929,49.59462,86.968193,104.172615
78,10.045757490560677,18.624,4.604,1.584,0.751,0.152,0.558,0.417,0.422,0.637,0.592,0.266,0.414,0.261,0.443,0.311,0.466,0.499,11.0,0.1595675,7.334,3.212,1.053,0.50787,4.5055308,66.133942,77.038254,62.328148
79,7.136677139879544,10.409,7.281,0.248,0.58,0.161,0.467,0.465,0.319,0.262,0.355,0.083,0.389,0.144,0.485,0.168,0.417,0.233,10.0,0.1120531,5.525,4.898,1.071,0.375343,5.96436643,58.560822,106.469963,115.436234
80,7.619788758288394,219.539,106.879,3.102,0.666,0.158,0.382,0.277,0.455,0.448,0.186,0.328,0.242,0.333,0.241,0.38,0.371,0.321,7.0,0.0723688,4.99,3.486,1.013,0.365276,2.22277716,88.395027,86.568787,53.377071
81,6.505845405981557,52.188,17.118,1.319,0.739,0.156,0.059,0.501,0.452,0.059,0.005,0.118,0.33,0.225,0.389,0.256,0.337,0.06,10.0,0.121704,5.981,2.802,1.137,0.42139,8.46302555,52.241421,103.675156,51.65136
82,7.292429823902063,271.847,8.945,0.909,0.965,0.159,0.589,0.426,0.323,0.588,0.215,0.13,0.287,0.171,0.265,0.227,0.446,0.311,8.0,0.1390388,5.764,2.597,1.022,0.38329,2.31112898,61.957825,92.493004,87.429306
83,6.767003889607846,38.196,9.425,1.275,0.781,0.159,0.043,0.496,0.481,0.004,0.302,0.248,0.39,0.294,0.408,0.277,0.34,0.184,6.0,0.0990941,6.25,3.097,1.056,0.384406,2.30220878,66.055939,74.75695,68.841156
84,6.899629454882437,11.864,8.443,0.812,0.562,0.159,0.521,0.491,0.468,0.287,0.217,0.282,0.33,0.29,0.331,0.298,0.493,0.262,7.0,0.1193414,5.936,2.883,1.052,0.392014,3.63857459,69.774719,101.31086,57.250641
