mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
74,7.657577319177793,1.62,9.919,8.375,0.34,0.532,0.16,0.442,0.464,0.207,0.318,0.281,0.041,0.366,0.084,0.375,0.096,0.371,0.213,0.271,6.0,0.1047632,5.329,4.319,1.137,0.378531,3.44190064,69.454185,95.832863,42.462547
75,5.985479461242076,1.75,187.94,150.224,65.13,0.466,0.153,0.255,0.161,0.159,0.126,0.052,0.044,0.06,0.082,0.062,0.056,0.192,0.074,0.092,9.0,0.102121,6.459,2.563,1.127,0.45632,6.91210698,78.38208,92.955353,43.015572
76,6.638272163982407,5.27,20.407,2.9,0.894,0.843,0.154,0.555,0.359,0.312,0.746,0.26,0.095,0.296,0.14,0.348,0.162,0.409,0.367,0.502,8.0,0.2334115,6.12,4.446,1.079,0.494903,8.46887406,65.424995,108.430786,76.936623
77,5.537602002101044,1.92,48.674,7.293,3.216,0.822,0.156,0.059,0.486,0.516,0.004,0.226,0.014,0.43,0.297,0.551,0.288,0.354,0.081,0.285,5.0,0.1762756,5.35,3.396,1.061,0.364139,6.67312887,66.236069,112.058258,124.873741
78,10.045757490560677,1.34,23.6,3.893,1.538,0.813,0.153,0.606,0.415,0.395,0.746,0.218,0.421,0.289,0.294,0.358,0.264,0.472,0.462,0.394,6.0,0.1992919,7.622,3.076,1.05,0.556242,9.62242545,75.163391,114.925171,70.474991
79,7.136677139879544,7.42,136.521,124.074,9.138,0.506,0.161,0.188,0.521,0.435,0.114,0.205,0.164,0.204,0.255,0.058,0.255,0.381,0.161,0.196,9.0,0.1066311,5.412,4.693,1.071,0.378253,5.85700872,116.077187,75.743874,57.295105
80,7.619788758288394,0.97,11.096,6.358,0.51,0.618,0.158,0.498,0.571,0.195,0.289,0.418,0.041,0.42,0.083,0.467,0.095,0.421,0.249,0.311,6.0,0.0705587,5.608,3.486,1.011,0.375179,2.57986408,83.162491,101.636337,63.298958
81,6.505845405981557,8.23,17.103,3.907,1.283,0.767,0.157,0.513,0.323,0.377,0.339,0.168,0.121,0.226,0.193,0.238,0.214,0.404,0.209,0.283,6.0,0.1150737,6.083,2.871,1.139,0.41787,8.67879475,69.557938,156.963409,87.53923
82,7.292429823902063,0.77,11.429,5.67,0.667,0.643,0.159,0.508,0.615,0.189,0.278,0.519,0.037,0.49,0.078,0.559,0.087,0.437,0.278,0.335,6.0,0.0204629,5.602,2.905,1.022,0.371983,3.54049406,81.741455,121.564545,98.964241
83,6.767003889607846,2.15,209.584,8.411,0.813,0.958,0.159,0.327,0.501,0.438,0.258,0.291,0.43,0.402,0.348,0.476,0.366,0.422,0.326,0.343,5.0,0.0996804,5.948,2.996,1.116,0.383101,3.17738032,49.166653,115.011169,64.101227
