mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101
89,8.468521082957745,322.078,9.619,1.442,0.967,0.153,0.685,0.472,0.396,0.532,0.125,0.204,0.489,0.189,0.518,0.444
90,8.585026652029182,8.646,5.243,0.893,0.585,0.153,0.443,0.395,0.316,0.201,0.096,0.141,0.273,0.192,0.384,0.359
91,7.886056647693163,6.693,5.964,0.937,0.492,0.155,0.43,0.507,0.393,0.286,0.084,0.167,0.412,0.2,0.443,0.275
92,8.455931955649724,6.752,5.937,0.799,0.501,0.157,0.456,0.534,0.272,0.318,0.047,0.111,0.506,0.106,0.42,0.28
93,8.958607314841775,6.189,4.33,1.008,0.537,0.161,0.508,0.441,0.313,0.312,0.066,0.135,0.544,0.135,0.42,0.281
94,7.602059991327962,6.224,4.047,2.313,0.495,0.154,0.517,0.617,0.426,0.288,0.235,0.283,0.454,0.416,0.52,0.292
95,6.127843727251707,267.263,9.172,0.89,0.964,0.165,0.984,0.543,0.353,0.397,0.107,0.172,0.448,0.183,0.627,0.513
96,6.6777807052660805,7.552,2.578,0.826,0.689,0.167,0.595,0.435,0.332,0.372,0.052,0.129,0.593,0.117,0.454,0.306
97,6.806875401645538,101.28,2.862,2.568,0.949,0.158,0.096,0.498,0.453,0.504,0.256,0.285,0.649,0.409,0.349,0.274
98,6.91721462968355,17.715,2.421,0.85,0.844,0.151,0.561,0.447,0.347,0.299,0.093,0.151,0.541,0.147,0.452,0.309
99,6.920818753952375,183.775,3.139,0.903,0.978,0.151,0.899,0.367,0.398,0.239,0.099,0.174,0.368,0.18,0.554,0.403
100,7.67778070526608,206.156,2.786,1.328,0.98,0.163,0.527,0.388,0.417,0.413,0.121,0.215,0.636,0.195,0.444,0.422
101,7.795880017344075,182.79,2.469,1.189,0.98,0.155,0.776,0.428,0.369,0.294,0.111,0.189,0.486,0.158,0.525,0.363
102,7.920818753952375,44.022,10.185,1.755,0.787,0.16,0.034,0.461,0.392,0.002,0.031,0.286,0.277,0.416,0.296,0.018
103,7.920818753952375,12.778,2.897,0.877,0.772,0.157,0.436,0.399,0.268,0.282,0.05,0.116,0.42,0.1,0.368,0.26
104,7.920818753952375,8.359,2.379,0.971,0.714,0.164,0.569,0.411,0.29,0.311,0.056,0.125,0.5,0.104,0.423,0.295
