mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106
87,8.2839966563652,2.63,32.756,5.476,1.34,0.828,0.153,0.039,0.364,0.318,0.27,0.183,0.289,0.201,0.416,0.16,0.24,0.184,0.197
88,8.698970004336019,9.26,231.568,5.149,4.853,0.959,0.153,0.708,0.417,0.52,0.397,0.246,0.319,0.306,0.482,0.274,0.548,0.396,0.42
89,8.468521082957745,1.96,8.392,5.037,1.04,0.58,0.153,0.417,0.416,0.325,0.222,0.093,0.277,0.153,0.381,0.174,0.386,0.29,0.34
90,8.585026652029182,2.36,8.491,5.273,0.866,0.58,0.153,0.462,0.398,0.336,0.206,0.104,0.271,0.149,0.269,0.224,0.399,0.36,0.519
91,7.886056647693163,9.83,6.724,5.695,1.021,0.5,0.155,0.429,0.511,0.367,0.281,0.075,0.385,0.154,0.41,0.175,0.436,0.27,0.378
92,8.455931955649724,3.79,209.242,6.285,1.099,0.966,0.157,0.359,0.441,0.344,0.361,0.066,0.379,0.139,0.532,0.192,0.381,0.219,0.315
93,8.958607314841775,0.33,5.837,4.612,0.972,0.511,0.16,0.494,0.416,0.303,0.298,0.077,0.286,0.136,0.505,0.154,0.404,0.277,0.411
94,7.602059991327962,3.51,6.283,5.379,2.31,0.45,0.154,0.478,0.366,0.428,0.227,0.249,0.31,0.289,0.319,0.453,0.424,0.347,0.486
95,6.127843727251707,0.69,7.601,2.671,1.137,0.666,0.163,0.572,0.459,0.397,0.375,0.141,0.366,0.201,0.613,0.222,0.476,0.343,0.471
96,6.6777807052660805,2.97,141.027,5.989,0.707,0.955,0.167,0.169,0.499,0.398,0.446,0.1,0.441,0.176,0.476,0.206,0.355,0.202,0.249
97,6.806875401645538,3.54,223.127,3.173,1.074,0.981,0.156,0.784,0.358,0.367,0.245,0.078,0.261,0.155,0.417,0.152,0.503,0.312,0.371
98,6.91721462968355,6.17,18.72,2.612,0.715,0.849,0.151,0.568,0.471,0.317,0.29,0.067,0.335,0.127,0.52,0.133,0.452,0.306,0.444
99,6.920818753952375,8.76,20.1,2.695,1.009,0.844,0.151,0.568,0.398,0.451,0.257,0.116,0.289,0.204,0.412,0.195,0.472,0.309,0.429
100,7.67778070526608,2.08,204.255,71.855,3.18,0.731,0.163,0.451,0.071,0.336,0.078,0.175,0.051,0.234,0.027,0.349,0.286,0.211,0.24
101,7.795880017344075,6.74,13.292,2.386,1.476,0.775,0.155,0.507,0.434,0.363,0.286,0.116,0.308,0.193,0.468,0.18,0.435,0.328,0.454
102,7.920818753952375,7.72,14.058,2.424,1.086,0.8,0.161,0.494,0.431,0.341,0.295,0.088,0.314,0.163,0.468,0.156,0.422,0.279,0.379
103,7.920818753952375,2.04,81.757,8.455,0.964,0.897,0.157,0.127,0.467,0.33,0.683,0.09,0.52,0.158,0.556,0.174,0.308,0.271,0.26
104,7.920818753952375,5.79,141.807,6.442,0.817,0.951,0.164,0.157,0.458,0.307,0.32,0.054,0.376,0.138,0.399,0.139,0.307,0.147,0.196
105,8.070581074285707,1.95,176.512,55.099,2.245,0.755,0.154,0.429,0.174,0.368,0.29,0.168,0.194,0.242,0.061,0.254,0.324,0.332,0.235
106,8.102372908709558,9.99,190.688,5.194,1.428,0.966,0.157,0.303,0.367,0.39,0.221,0.187,0.271,0.219,0.292,0.273,0.353,0.278,0.336
