mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101
89,8.468521082957745,10.056,5.345,0.864,0.618,0.153,0.43,0.347,0.317,0.213,0.062,0.242,0.128,0.362,0.166,0.364,0.273
90,8.585026652029182,8.482,5.064,1.185,0.576,0.153,0.463,0.409,0.391,0.243,0.08,0.294,0.169,0.307,0.151,0.421,0.366
91,7.886056647693163,207.863,5.591,1.147,0.969,0.155,0.682,0.409,0.363,0.357,0.076,0.364,0.159,0.449,0.164,0.484,0.349
92,8.455931955649724,57.119,5.675,1.227,0.892,0.157,0.063,0.385,0.473,0.354,0.155,0.317,0.25,0.512,0.282,0.307,0.191
93,8.958607314841775,333.236,158.216,1.778,0.676,0.16,0.708,0.369,0.379,0.238,0.083,0.253,0.159,0.329,0.218,0.485,0.35
94,7.602059991327962,6.372,4.591,1.971,0.493,0.154,0.524,0.447,0.417,0.256,0.234,0.344,0.273,0.366,0.393,0.462,0.294
95,6.127843727251707,336.268,8.17,2.457,0.969,0.163,0.919,0.444,0.398,0.262,0.333,0.303,0.312,0.492,0.554,0.587,0.482
96,6.6777807052660805,7.436,2.668,0.803,0.682,0.167,0.583,0.437,0.316,0.369,0.052,0.352,0.126,0.587,0.108,0.445,0.302
97,6.806875401645538,11.025,2.54,1.083,0.753,0.156,0.533,0.429,0.325,0.293,0.114,0.309,0.168,0.535,0.147,0.429,0.333
98,6.91721462968355,122.078,27.332,2.582,0.803,0.151,0.24,0.045,0.413,0.011,0.008,0.018,0.091,0.026,0.158,0.233,0.113
99,6.920818753952375,190.339,2.349,1.053,0.982,0.151,0.72,0.445,0.4,0.36,0.089,0.35,0.174,0.581,0.19,0.522,0.365
100,7.67778070526608,8.779,2.362,0.904,0.729,0.163,0.568,0.418,0.279,0.32,0.053,0.327,0.12,0.528,0.098,0.422,0.291
101,7.795880017344075,165.209,3.383,0.988,0.974,0.155,0.381,0.333,0.353,0.236,0.089,0.245,0.163,0.308,0.153,0.356,0.233
102,7.920818753952375,12.948,2.302,1.219,0.786,0.16,0.493,0.39,0.316,0.275,0.079,0.291,0.15,0.456,0.121,0.4,0.271
103,7.920818753952375,218.868,10.716,2.308,0.944,0.157,0.248,0.467,0.415,0.4,0.301,0.404,0.303,0.423,0.499,0.377,0.323
104,7.920818753952375,200.672,5.58,1.191,0.967,0.164,0.471,0.449,0.483,0.252,0.23,0.319,0.293,0.304,0.4,0.467,0.281
105,8.070581074285707,226.725,38.688,5.58,0.837,0.155,0.925,0.03,0.35,0.002,0.005,0.006,0.13,0.009,0.188,0.435,0.345
106,8.102372908709558,276.427,226.703,2.726,0.546,0.157,0.443,0.362,0.402,0.481,0.272,0.301,0.372,0.247,0.524,0.402,0.394
107,8.207608310501746,192.399,7.681,0.828,0.958,0.16,0.532,0.376,0.358,0.379,0.078,0.371,0.161,0.455,0.145,0.422,0.304
109,8.327902142064282,12.11,3.81,1.049,0.714,0.151,0.525,0.466,0.37,0.323,0.143,0.356,0.192,0.456,0.175,0.454,0.355
110,8.619788758288394,289.381,6.325,3.157,0.968,0.153,0.342,0.47,0.416,0.452,0.258,0.443,0.331,0.583,0.244,0.409,0.35
113,5.337242168318426,159.125,7.941,1.291,0.945,0.177,0.308,0.418,0.313,0.376,0.559,0.373,0.283,0.394,0.31,0.346,0.384
114,5.508638306165727,10.55,2.119,0.182,0.821,0.177,0.598,0.531,0.207,0.365,0.245,0.292,0.161,0.674,0.06,0.445,0.326
115,5.537602002101044,16.127,2.371,0.921,0.83,0.167,0.576,0.392,0.21,0.683,0.182,0.238,0.285,0.319,0.417,0.393,0.417
116,5.585026652029182,50.646,14.812,0.973,0.762,0.165,0.044,0.511,0.206,0.001,0.148,0.037,0.25,0.109,0.346,0.254,0.058
117,5.619788758288394,19.461,2.398,1.04,0.85,0.163,0.59,0.372,0.245,0.716,0.177,0.247,0.288,0.305,0.421,0.402,0.431
118,5.657577319177793,10.674,1.955,0.479,0.814,0.177,0.598,0.454,0.279,0.759,0.212,0.356,0.204,0.467,0.142,0.443,0.427
119,5.6777807052660805,10.514,1.633,0.828,0.81,0.177,0.603,0.39,0.43,0.853,0.049,0.356,0.131,0.448,0.148,0.474,0.468
120,5.698970004336019,211.724,136.735,3.504,0.602,0.172,0.498,0.96,0.423,0.403,0.22,0.785,0.293,0.478,0.233,0.627,0.388
