mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106
91,7.886056647693163,6.58,6.443,5.775,1.033,0.486,0.155,0.419,0.516,0.376,0.452,0.277,0.078,0.378,0.159,0.402,0.181,0.437,0.269,0.376
92,8.455931955649724,1.69,259.557,6.595,0.847,0.972,0.157,0.686,0.482,0.338,0.835,0.483,0.082,0.44,0.15,0.456,0.189,0.502,0.467,0.48
93,8.958607314841775,5.73,113.512,4.599,1.253,0.951,0.16,0.23,0.456,0.378,0.368,0.31,0.154,0.327,0.224,0.55,0.266,0.355,0.277,0.359
94,7.602059991327962,7.93,6.461,3.386,2.287,0.532,0.154,0.531,0.536,0.425,0.351,0.307,0.225,0.432,0.275,0.459,0.378,0.497,0.295,0.413
95,6.127843727251707,9.5,8.324,2.71,0.957,0.694,0.163,0.6,0.446,0.351,0.57,0.335,0.089,0.334,0.164,0.532,0.159,0.466,0.331,0.444
96,6.6777807052660805,9.86,34.952,3.095,0.925,0.897,0.167,0.05,0.419,0.305,0.007,0.298,0.032,0.318,0.127,0.506,0.126,0.258,0.112,0.219
97,6.806875401645538,7.14,110.269,7.485,1.828,0.922,0.156,0.158,0.46,0.54,0.171,0.371,0.309,0.396,0.355,0.461,0.632,0.386,0.284,0.385
98,6.91721462968355,3.57,159.336,16.615,2.522,0.893,0.151,0.273,0.572,0.483,0.22,0.575,0.301,0.574,0.351,0.534,0.633,0.443,0.366,0.439
99,6.920818753952375,5.79,68.659,3.22,1.736,0.933,0.151,0.159,0.393,0.418,0.071,0.128,0.253,0.232,0.309,0.299,0.396,0.323,0.151,0.257
100,7.67778070526608,4.45,204.583,2.47,1.036,0.983,0.163,0.766,0.411,0.299,0.588,0.311,0.047,0.325,0.117,0.494,0.088,0.492,0.315,0.377
101,7.795880017344075,2.04,68.131,7.723,0.862,0.888,0.155,0.063,0.388,0.271,0.051,0.332,0.049,0.356,0.108,0.345,0.108,0.24,0.144,0.159
102,7.920818753952375,5.79,44.324,13.416,1.212,0.752,0.16,0.03,0.487,0.447,0.494,0.001,0.05,0.455,0.341,0.505,0.571,0.321,0.182,0.362
103,7.920818753952375,6.71,13.008,2.828,0.84,0.78,0.157,0.442,0.395,0.255,0.465,0.28,0.045,0.294,0.108,0.432,0.094,0.364,0.263,0.359
104,7.920818753952375,2.61,8.051,2.443,0.925,0.705,0.164,0.569,0.418,0.299,0.53,0.303,0.063,0.319,0.132,0.496,0.109,0.429,0.299,0.421
105,8.070581074285707,2.64,17.127,2.48,0.727,0.842,0.154,0.509,0.437,0.271,0.536,0.28,0.051,0.304,0.11,0.492,0.101,0.406,0.289,0.412
106,8.102372908709558,5.43,10.073,2.326,1.501,0.725,0.157,0.514,0.413,0.394,0.679,0.246,0.117,0.32,0.198,0.608,0.178,0.441,0.347,0.438
107,8.207608310501746,9.96,10.34,2.641,1.004,0.739,0.16,0.554,0.436,0.332,0.758,0.247,0.079,0.308,0.148,0.542,0.131,0.441,0.361,0.417
109,8.327902142064282,3.34,15.398,3.074,0.951,0.793,0.151,0.524,0.454,0.354,0.554,0.354,0.072,0.358,0.155,0.454,0.162,0.444,0.327,0.421
110,8.619788758288394,0.32,17.143,2.771,1.669,0.794,0.154,0.586,0.458,0.44,0.538,0.287,0.105,0.327,0.22,0.43,0.174,0.495,0.31,0.425
113,5.337242168318426,6.76,213.851,2.655,0.179,0.987,0.177,0.959,0.488,0.398,0.849,0.723,0.177,0.413,0.22,0.391,0.299,0.615,0.583,0.519
114,5.508638306165727,0.26,11.116,1.824,0.373,0.835,0.177,0.604,0.531,0.44,0.377,0.44,0.067,0.298,0.179,0.76,0.113,0.525,0.294,0.46
115,5.537602002101044,1.45,225.275,12.744,0.987,0.943,0.167,0.518,0.59,0.321,0.465,0.409,0.336,0.495,0.344,0.443,0.252,0.476,0.403,0.338
