mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
150,7.301029995663981,3.0,0.3617111,8.557,3.047,1.017,0.567738,2.66712451,77.391487,100.430115,146.384491
151,6.958607314841775,6.0,0.2437138,8.548,3.013,1.023,0.586744,5.88294655,71.337448,108.25618,113.435165
155,6.585026652029182,6.0,0.3016872,7.07,4.339,1.063,0.475662,6.77486751,88.167595,132.617935,106.052834
156,6.508638306165727,6.0,0.4538636,6.477,4.337,1.051,0.384625,6.91709826,60.13937,116.232903,116.142151
158,7.045757490560675,5.0,0.2869978,7.184,4.037,1.043,0.435681,6.27661412,61.967697,99.204765,84.621254
159,5.586700235918748,5.0,0.3302283,8.004,4.237,1.043,0.435905,4.45886147,54.708771,152.79039,122.117386
160,7.522878745280337,4.0,0.1751445,7.39,4.238,1.038,0.436599,4.74509454,52.880901,981.84375,103.970039
162,7.096910013008056,6.0,0.3372321,7.607,4.238,1.048,0.491408,5.37245985,66.29879,179.543823,117.084854
163,5.43533393574791,4.0,0.3245387,7.442,4.406,1.058,0.45693,4.28975528,62.563572,182.065155,132.038269
164,6.721246399047171,3.0,0.1925403,7.3,3.963,1.075,0.434195,7.96720072,39.587093,193.69986,135.415833
165,7.522878745280337,4.0,0.4300751,6.91,4.03,1.059,0.439439,6.99456184,79.646774,195.117172,126.87973
166,5.619788758288394,3.0,0.2246387,7.508,4.353,1.058,0.545369,8.00578901,46.663101,102.199722,69.101097
167,5.187086643357144,6.0,0.3135388,7.533,4.214,1.03,0.460345,1.83554538,41.106064,97.616966,85.147713
168,5.337242168318426,4.0,0.2972824,7.434,4.08,1.038,0.471415,4.59886561,60.593918,85.635849,79.511627
169,5.619788758288394,4.0,0.3066972,7.811,4.115,1.015,0.5019,5.50114171,35.934341,73.951134,84.503578
170,5.769551078621726,3.0,0.2548912,8.016,4.08,1.084,0.596465,6.22332107,62.636032,84.190315,110.610268
171,5.6020599913279625,3.0,0.2658367,7.564,3.945,1.031,0.519301,4.20379988,46.516708,99.720093,92.768845
172,5.6020599913279625,4.0,0.192287,8.045,4.148,1.01,0.550733,3.45431085,73.568176,137.220581,89.135284
173,5.6020599913279625,4.0,0.1837817,7.704,4.114,1.021,0.5525,1.26695506,53.440918,98.88649,78.816315
174,5.853871964321762,4.0,0.3064137,8.165,4.046,1.033,0.518417,4.01621691,41.580078,92.100212,96.610481
175,5.619788758288394,8.0,0.2015366,8.14,5.855,1.026,0.481557,1.65808229,50.964512,124.004105,85.562859
176,5.619788758288394,4.0,0.3093776,7.385,4.013,1.037,0.512348,5.49161131,77.707153,91.219437,81.773598
178,5.657577319177793,5.0,0.470975,7.761,3.81,1.057,0.470373,6.8085132,61.04174,115.068687,113.347809
179,5.221848749616356,4.0,0.298215,8.044,4.215,1.038,0.562416,8.83932272,72.224754,92.129723,98.221664
180,5.075720713938118,3.0,0.1721288,7.417,4.013,1.046,0.476366,4.97309392,50.571411,91.426659,95.881081
181,7.823908740944319,8.0,0.2614058,7.469,4.673,1.032,0.537199,3.21864787,55.685246,157.118729,83.803818
182,8.154901959985743,4.0,0.2222901,7.413,3.616,1.017,0.547965,2.61762958,45.256001,140.96904,111.134773
183,7.795880017344075,3.0,0.3407091,7.447,3.683,1.025,0.476769,1.78221839,59.522808,114.909393,51.458572
184,7.008773924307505,7.0,0.3304086,7.195,3.616,1.022,0.490447,2.95700786,71.467056,139.718796,116.017952
185,7.086186147616283,6.0,0.1957092,7.777,5.336,1.052,0.630152,7.51165351,57.194847,86.15432,58.992821
186,5.0,6.0,0.2127466,6.635,4.855,1.053,0.560647,3.20693749,67.035133,131.341476,60.451778
187,5.980468315468745,5.0,0.2722944,6.562,3.616,1.03,0.453602,3.28880507,41.574512,109.061279,49.230209
188,6.34008379993015,5.0,0.3020818,7.218,4.688,1.045,0.505244,6.8964191,67.751396,110.332741,54.878464
189,7.327902142064283,5.0,0.3937806,7.466,4.52,1.036,0.476934,3.5253661,53.675312,164.070312,126.205444
190,8.221848749616356,4.0,0.4861992,6.628,3.851,1.014,0.407417,3.40364449,46.292763,115.413704,104.982849
191,7.468521082957745,5.0,0.3546875,7.283,3.75,1.018,0.490362,4.91047367,57.319923,98.028358,62.929062
192,7.136677139879544,,,,,,,,,,
193,9.0,4.0,0.3932887,7.571,3.75,1.013,0.439421,2.36148727,60.253071,150.376709,74.02182
194,8.698970004336019,6.0,0.4916386,6.775,4.554,1.014,0.40899,1.86418609,80.993896,165.961685,127.72023
195,8.096910013008056,6.0,0.1788621,8.304,3.884,1.012,0.617741,5.08286697,48.91658,124.127403,81.863365
196,8.301029995663981,4.0,0.3749961,7.473,3.75,1.026,0.424954,6.43181263,98.299377,127.831123,77.272835
197,7.154901959985743,3.0,0.345422,7.55,3.013,1.014,0.433572,2.0591029,71.152786,166.980103,80.017677
198,7.2839966563652,7.0,0.2998672,7.739,3.918,1.044,0.474347,6.66592171,46.512321,141.254272,124.812927
199,7.602059991327962,5.0,0.4348857,7.183,3.984,1.039,0.422449,4.18079667,62.383064,144.613281,94.49147
201,5.334419008982047,5.0,0.3838708,8.285,4.773,1.086,0.477465,6.861506,116.38324,179.568161,140.82962
202,5.366531544420414,4.0,0.2426065,9.014,4.637,1.069,0.569798,3.94732005,84.72966,150.187195,171.362366
203,5.156144577376839,7.0,0.2853232,7.789,4.102,1.05,0.536107,9.67252313,62.811775,138.77475,92.682831
204,5.87942606879415,4.0,0.2663033,7.519,3.66,1.068,0.461874,7.04528883,74.033966,95.710136,112.083496
206,7.301029995663981,3.0,0.3178785,7.855,4.305,1.038,0.519355,5.11199767,65.847946,199.337448,130.985886
207,7.045757490560675,8.0,0.2835013,7.244,4.334,1.049,0.502632,4.44419365,55.069149,116.570618,131.823822
208,5.97061622231479,4.0,0.3712947,7.471,4.441,1.03,0.446161,5.01772646,77.820114,147.049835,88.154068
210,6.013228265733755,5.0,0.3273446,7.523,4.338,1.026,0.474033,4.80012952,63.573151,186.73851,143.529022
211,7.154901959985743,5.0,0.1505994,7.551,4.27,1.039,0.454997,4.95292239,63.95245,172.291443,125.613266
212,6.698970004336019,6.0,0.2207399,7.337,4.571,1.034,0.480398,5.10672971,76.096786,218.330505,101.511612
214,5.561141340579438,7.0,0.1410433,9.197,4.943,1.042,0.608349,8.15262007,66.963997,143.747803,134.708435
216,7.698970004336019,1.0,0.3117618,7.243,3.591,1.02,0.503704,2.84815997,62.277828,149.216675,64.702896
217,8.397940008672037,5.0,0.1621894,7.381,3.692,1.023,0.590858,2.85315811,74.072296,124.21283,67.421875
218,5.084072788302884,4.0,0.2183478,7.426,4.418,1.03,0.572493,3.81286907,79.292252,121.453598,116.608238
219,6.180456064458132,4.0,0.2446793,6.416,4.386,1.068,0.467196,6.84388676,42.159431,123.10498,60.861584
220,6.092588639225414,4.0,0.2481842,7.735,4.357,1.033,0.507905,6.31315185,48.083641,128.390564,95.509827
221,5.267606240177032,7.0,0.2003706,7.485,4.418,1.026,0.552497,5.61637412,73.856293,124.321548,70.38308
222,5.337242168318426,5.0,0.1798888,8.206,5.462,1.021,0.604521,5.12446263,71.221115,166.003433,119.521729
223,5.20342566678957,6.0,0.207457,7.569,4.665,1.036,0.608351,4.13439911,65.232635,146.529724,87.000816
224,5.392544976785332,6.0,0.4736552,6.956,3.684,1.038,0.415637,6.64269351,74.488945,130.507065,84.786255
225,8.657577319177793,5.0,0.3202029,6.869,3.75,1.048,0.480369,2.17480452,53.207352,155.33017,109.586563
226,7.853871964321762,7.0,0.2207469,6.973,5.045,1.054,0.484502,6.12177652,54.142029,92.272957,100.70266
227,8.568636235841012,5.0,0.2189896,6.957,3.884,1.048,0.536401,6.12051357,65.592461,107.576111,125.878571
228,8.1249387366083,8.0,0.2467269,6.383,3.583,1.048,0.500345,3.24438224,66.588318,105.899513,101.413475
