mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
93,7.173925197299173,4.96,49.712,9.266,1.883,0.817,0.153,0.074,0.464,0.302,0.181,0.275,0.27,0.365,0.227,0.38,0.195,0.28,0.242,7.0,0.1336674,7.318,4.385,1.074,0.456944,5.43291015,92.377487,100.745522,121.20285
94,7.769551078621726,6.58,432.769,161.216,69.437,0.652,0.151,0.869,0.274,0.171,0.972,0.251,0.102,0.188,0.126,0.149,0.087,0.438,0.442,6.0,0.1876406,6.652,5.015,1.184,0.489604,11.0009422,72.589439,105.677849,91.220695
95,5.823908740944319,7.93,123.072,8.448,2.09,0.921,0.151,0.3,0.428,0.24,0.22,0.217,0.109,0.312,0.119,0.353,0.101,0.323,0.182,9.0,0.1830325,6.844,4.678,1.162,0.475892,7.23483265,77.712662,112.8396,68.487953
96,5.881404634776238,2.77,19.102,7.823,1.617,0.669,0.151,0.525,0.382,0.469,0.348,0.217,0.403,0.263,0.399,0.32,0.332,0.459,0.323,11.0,0.1939695,6.812,4.372,1.167,0.476384,4.91252933,104.057907,138.951782,77.582176
97,6.218244625347531,9.27,56.014,16.777,1.439,0.755,0.156,0.065,0.546,0.402,0.058,0.324,0.464,0.433,0.366,0.366,0.244,0.338,0.282,11.0,0.1128475,6.643,4.303,1.144,0.46452,8.68351055,87.838516,93.323357,68.089943
98,6.471083299722345,1.04,29.547,3.819,1.279,0.853,0.151,0.527,0.347,0.408,0.329,0.178,0.361,0.236,0.32,0.321,0.306,0.427,0.29,12.0,0.0967285,6.713,4.651,1.162,0.519872,8.38672712,82.680496,98.059776,75.575325
99,6.586700235918748,4.39,156.585,5.282,0.607,0.964,0.165,0.28,0.568,0.353,0.253,0.262,0.326,0.317,0.32,0.363,0.388,0.4,0.28,5.0,0.0372455,4.729,4.583,1.051,0.33439,5.30666958,70.074783,984.010559,84.387917
100,6.698970004336019,5.46,11.857,3.947,0.821,0.713,0.168,0.601,0.409,0.211,0.371,0.315,0.296,0.294,0.166,0.297,0.193,0.407,0.327,7.0,0.1334028,5.245,3.357,1.03,0.366787,3.69828133,27.510952,72.274521,83.855385
101,6.6020599913279625,2.24,184.896,10.48,1.615,0.939,0.168,0.297,0.477,0.436,0.175,0.233,0.134,0.317,0.222,0.325,0.152,0.403,0.181,5.0,0.1479488,5.167,3.236,1.039,0.376213,5.52772264,46.093414,87.272491,49.107353
102,6.070581074285707,2.55,245.47,133.933,2.656,0.642,0.162,0.434,0.357,0.239,0.644,0.268,0.13,0.397,0.17,0.201,0.089,0.343,0.347,7.0,0.1598197,5.981,3.27,1.027,0.387783,2.95620009,57.2687,79.807396,34.702026
103,7.356547323513812,3.32,14.15,4.659,1.758,0.688,0.159,0.545,0.394,0.37,0.396,0.32,0.16,0.298,0.206,0.314,0.24,0.436,0.292,9.0,0.114183,6.597,3.419,1.053,0.414613,5.64742618,58.728821,93.492218,73.976837
