mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
63,7.301029995663981,8.98,327.148,5.573,2.422,0.976,0.149,0.78,0.206,0.386,0.655,0.084,0.18,0.112,0.242,0.122,0.249,0.457,0.306,0.312,4.0,0.1935577,7.699,2.905,1.039,0.549285,6.11870533,84.242859,197.693817,90.121056
64,6.0,1.28,15.913,6.979,1.32,0.657,0.151,0.485,0.477,0.326,0.736,0.342,0.116,0.349,0.184,0.437,0.182,0.429,0.398,0.443,3.0,0.2081602,7.419,4.445,1.05,0.507158,4.69973122,75.905663,162.769821,113.259247
65,5.903089986991944,7.47,15.651,6.197,1.008,0.685,0.155,0.516,0.342,0.378,0.482,0.325,0.086,0.292,0.166,0.331,0.186,0.412,0.298,0.325,3.0,0.1300267,6.408,3.076,1.03,0.460499,4.48540613,95.954193,159.201065,68.40815
66,5.600326278518962,7.25,333.754,6.225,2.048,0.976,0.153,0.787,0.345,0.285,0.773,0.388,0.138,0.307,0.186,0.307,0.147,0.472,0.433,0.404,3.0,0.2297853,7.612,3.144,1.036,0.522008,6.0234365,78.787605,160.083908,80.781525
67,6.0,1.04,164.542,133.72,5.64,0.541,0.155,0.234,0.182,0.327,0.237,0.108,0.417,0.179,0.306,0.084,0.368,0.248,0.254,0.215,4.0,0.1377889,6.724,3.144,1.03,0.493119,6.03310547,87.442497,161.672089,113.638939
68,5.400116927926312,8.21,14.546,5.294,1.378,0.686,0.153,0.486,0.409,0.375,0.791,0.233,0.391,0.289,0.294,0.318,0.283,0.424,0.472,0.418,1.0,0.1809346,7.333,3.11,1.094,0.488419,5.41752615,67.695633,172.093811,97.395699
69,6.102372908709558,6.68,351.246,18.951,4.549,0.937,0.151,0.744,0.495,0.342,0.78,0.43,0.265,0.416,0.276,0.429,0.246,0.527,0.491,0.434,7.0,0.1632332,7.466,3.076,1.028,0.50492,3.75172439,64.343742,162.30571,98.346664
70,7.301029995663981,4.44,17.117,6.006,1.202,0.704,0.153,0.445,0.384,0.384,0.308,0.213,0.095,0.286,0.171,0.285,0.193,0.404,0.205,0.277,5.0,0.192287,6.734,4.584,1.018,0.4389,3.00921227,81.403404,194.855301,91.709976
71,7.397940008672037,4.82,128.033,7.319,3.986,0.919,0.151,0.144,0.366,0.37,0.156,0.39,0.152,0.306,0.23,0.254,0.23,0.293,0.233,0.215,3.0,0.2283787,7.165,3.247,1.029,0.504686,1.93965962,80.227829,146.497742,57.567417
72,5.096910013008056,0.52,24.458,2.4,1.745,0.855,0.15,0.627,0.44,0.43,0.529,0.444,0.248,0.362,0.274,0.428,0.442,0.499,0.407,0.461,9.0,0.2334241,6.552,3.076,1.065,0.510042,3.64301237,57.400867,141.50499,99.78495
73,7.472284193781353,0.46,17.534,2.368,1.36,0.825,0.165,0.534,0.461,0.463,0.674,0.21,0.137,0.233,0.265,0.256,0.284,0.486,0.34,0.344,6.0,0.1268826,5.241,4.772,1.062,0.451797,6.73991313,44.125275,152.128632,160.474884
74,7.657577319177793,2.24,187.729,8.391,1.945,0.948,0.16,0.228,0.431,0.309,0.174,0.228,0.21,0.299,0.229,0.334,0.202,0.323,0.204,0.222,12.0,0.1094659,5.389,4.189,1.109,0.375963,4.20967059,53.593925,112.173325,42.168633
75,5.985479461242076,7.33,461.354,210.023,6.155,0.681,0.153,0.68,0.324,0.372,0.768,0.253,0.184,0.292,0.25,0.186,0.248,0.458,0.402,0.413,9.0,0.0826193,6.473,2.734,1.136,0.445414,8.7904519,83.054108,110.65107,62.791576
76,6.638272163982407,3.07,68.088,16.805,3.145,0.773,0.154,0.051,0.63,0.408,0.528,0.002,0.298,0.566,0.448,0.711,0.857,0.363,0.276,0.526,8.0,0.1505211,6.108,4.515,1.077,0.450778,4.71030007,105.148056,140.814575,78.255806
77,5.537602002101044,4.46,11.456,5.206,0.8,0.656,0.16,0.5,0.435,0.261,0.724,0.337,0.067,0.376,0.113,0.382,0.119,0.399,0.376,0.505,4.0,0.2234465,5.773,3.362,1.077,0.417436,10.0725476,68.819786,108.343689,123.88887
78,10.045757490560677,9.45,21.388,3.429,2.71,0.777,0.152,0.55,0.381,0.486,0.654,0.598,0.267,0.397,0.304,0.429,0.28,0.472,0.506,0.398,7.0,0.1691004,7.951,3.247,1.063,0.536646,8.13967877,90.52211,104.191635,168.467926
