mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
27,8.0,5.0,0.1781589,6.204,3.007,1.018,0.474018,0.974995376,53.180969,118.146523,44.492268
28,8.0,7.0,0.2270668,5.56,4.44,1.017,0.504566,2.24454264,51.915855,149.185928,35.365421
29,7.301029995663981,6.0,0.1181251,6.674,3.335,1.081,0.474309,5.00947158,53.20697,117.206444,59.091942
30,6.721246399047171,3.0,0.16965,6.306,3.605,1.021,0.525052,1.61656065,46.851208,156.787521,50.174656
31,6.102372908709558,6.0,0.3075917,6.739,3.232,1.076,0.434352,6.82040786,55.498894,126.795319,64.662292
32,7.0,4.0,0.1511139,5.938,3.572,1.014,0.495137,3.15276463,41.003918,144.502243,66.482796
33,7.301029995663981,4.0,0.213531,6.662,4.237,1.011,0.537638,2.838011,50.553116,189.836197,52.217525
34,7.301029995663981,7.0,0.1693449,5.971,4.306,1.011,0.500865,2.83608198,66.212311,126.102119,77.480682
35,7.154901959985743,5.0,0.122427,5.92,4.326,1.01,0.527363,3.01424289,51.419884,151.756744,43.475471
36,6.920818753952375,5.0,0.2433979,6.573,4.949,1.012,0.497356,3.1206096,55.29266,147.151321,42.268696
37,6.721246399047171,4.0,0.2434866,6.883,5.039,1.012,0.509113,1.68529424,68.829521,183.465057,58.051697
38,5.5003129173815966,6.0,0.1137983,7.128,4.305,1.011,0.568432,1.93818188,82.313972,141.128616,96.753914
39,6.200659450546418,1.0,0.222548,6.758,4.61,1.007,0.548744,2.98388232,84.716423,150.347519,66.002884
40,7.522878745280337,6.0,0.0693653,6.214,3.538,1.009,0.492758,2.28798139,57.884487,133.877258,86.351715
41,7.301029995663981,4.0,0.205763,6.173,4.706,1.017,0.52539,3.27889663,53.401699,133.087616,68.887497
42,8.0,5.0,0.2235364,6.919,2.973,1.025,0.492287,4.56206721,76.688286,132.811356,52.442177
43,8.0,10.0,0.1283883,5.88,3.978,1.046,0.422178,3.95599237,35.050037,139.256104,53.58432
44,6.823908740944319,4.0,0.13871,6.998,4.209,1.02,0.557001,3.80441538,52.662487,144.469116,61.50135
45,6.920818753952375,5.0,0.1425867,7.363,3.042,1.009,0.585706,2.85979296,72.999268,144.627289,127.390457
46,8.0,4.0,0.1645722,6.493,4.174,1.015,0.426816,3.00816638,61.771271,168.98555,112.005791
47,8.0,7.0,0.230483,6.329,3.212,1.019,0.481339,5.59914548,57.36834,154.646133,77.515228
48,8.0,4.0,0.0994112,6.069,2.973,1.02,0.471339,4.99806297,56.165314,166.798645,74.523125
49,8.0,2.0,0.2507886,6.1,3.076,1.013,0.449616,2.81977023,73.57618,139.811539,100.038666
50,7.698970004336019,4.0,0.1722164,7.262,3.042,1.039,0.509687,5.86009289,56.361946,183.337082,68.625534
51,7.698970004336019,4.0,0.2333132,6.554,3.042,1.032,0.42937,5.05659188,96.055664,135.533539,80.870911
52,7.698970004336019,4.0,0.1692367,6.605,3.042,1.042,0.494286,3.21967297,75.331985,128.010361,103.26432
53,7.698970004336019,5.0,0.0972839,6.533,3.076,1.036,0.488313,2.94058335,63.615761,135.088806,84.428757
54,7.397940008672037,5.0,0.250677,6.989,3.042,1.05,0.505544,6.72323235,60.937836,163.835449,103.2826
55,8.0,4.0,0.1252148,7.247,2.973,1.025,0.49539,3.94148559,67.728226,153.286407,79.456528
56,5.300162274132754,6.0,0.1946457,7.139,4.344,1.03,0.44263,3.67193427,74.386848,151.854874,89.022751
57,4.500312917381596,4.0,0.2795188,7.474,4.284,1.04,0.529387,3.09901564,92.456062,167.173157,81.933907
58,5.100179497572904,5.0,0.2161358,6.604,4.079,1.076,0.468387,5.74174417,100.024635,175.400833,107.003517
59,4.508638306165727,5.0,0.1552481,7.316,4.01,1.102,0.493091,5.15199133,64.814835,139.938934,75.675247
60,5.300162274132754,7.0,0.1869181,7.61,4.25,1.03,0.509467,4.56819901,85.679077,154.78804,127.509872
61,6.823908740944319,4.0,0.2907364,6.39,5.517,1.037,0.421808,3.98969046,98.125938,176.892365,77.416954
62,6.508638306165727,5.0,0.0205074,7.43,2.905,1.045,0.538763,4.57865923,76.555397,166.484985,68.704468
63,7.301029995663981,4.0,0.2538982,6.999,3.178,1.042,0.470861,3.87589463,77.959991,159.375854,104.198235
64,6.0,4.0,0.2566639,7.949,4.275,1.05,0.574509,1.84168849,96.27491,219.481781,94.053833
65,5.903089986991944,4.0,0.1634504,6.869,3.042,1.03,0.438694,5.33168411,81.460411,189.672577,101.505737
66,5.600326278518962,5.0,0.3063675,7.501,3.11,1.04,0.474683,7.01212575,62.963631,156.859894,74.057602
67,6.0,2.0,0.1554411,6.677,3.11,1.03,0.494373,2.88236164,82.443993,158.342545,99.79248
68,5.400116927926312,3.0,0.2449681,8.076,3.076,1.049,0.50355,7.11732756,44.095306,144.190994,85.036636
69,6.102372908709558,4.0,0.1866014,7.145,3.11,1.03,0.523305,4.90374699,88.343811,157.627274,96.474014
70,7.301029995663981,5.0,0.2285772,6.882,4.308,1.017,0.437163,3.09764884,72.29052,145.320404,92.267929
71,7.397940008672037,4.0,0.1409504,6.632,2.905,1.026,0.505005,5.16050429,65.84697,170.777252,88.870239
72,5.096910013008056,7.0,0.1772583,6.533,3.212,1.058,0.502914,5.57586265,78.935768,153.928192,106.268753
73,7.472284193781353,5.0,0.1337896,5.654,4.4,1.083,0.472966,5.05233317,61.105316,127.40126,160.759308
74,7.657577319177793,7.0,0.1193433,5.403,4.144,1.089,0.380033,5.22151419,33.668518,108.953033,37.88271
75,5.985479461242076,7.0,0.1170676,6.821,2.631,1.137,0.464603,6.48783031,91.813522,95.076546,56.840618
76,6.638272163982407,7.0,0.1727385,6.371,4.377,1.078,0.46691,5.76524622,50.191257,87.073219,42.772488
77,5.537602002101044,7.0,0.1529969,5.46,3.395,1.072,0.360894,5.22313739,53.660271,87.0355,135.29483
78,10.045757490560677,7.0,0.2175732,7.755,3.076,1.052,0.584281,3.29175509,45.195721,93.05555,70.343018
79,7.136677139879544,10.0,0.0294771,5.336,4.796,1.07,0.383666,5.92890627,64.16111,102.26944,115.75
80,7.619788758288394,7.0,0.0520888,5.774,3.349,1.013,0.37031,3.06244915,107.524307,67.863426,56.365665
81,6.505845405981557,10.0,0.1284862,6.186,2.973,1.135,0.41588,8.50656919,69.759872,95.240799,54.301727
82,7.292429823902063,9.0,0.1228495,6.188,3.076,1.023,0.393754,3.05102145,58.502316,101.52562,86.834038
83,6.767003889607846,7.0,0.0999843,6.191,3.097,1.092,0.390053,5.05491983,65.703636,91.441231,60.721355
84,6.899629454882437,7.0,0.167176,5.737,2.985,1.073,0.372851,4.46006358,91.715538,116.78833,99.82872
