mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,13,20,21,31,32,75,76,100,101,107,108,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
49,9.221848749616356,4.64,149.418,81.184,6.298,0.631,0.151,0.198,0.088,0.342,4.266,0.007,0.018,0.022,0.167,0.042,0.266,0.209,0.033,90214.394,11060.241,8,0.1546256,6.02,3.878,1.135,0.407241,9.63320539,49.548141,285.515686,155.445358
50,8.522878745280337,0.4,8.936,6.016,0.847,0.566,0.155,0.372,0.491,0.368,0.419,0.323,0.088,0.412,0.17,0.467,0.195,0.41,0.253,127.756,75.202,5,0.0791688,5.662,3.436,1.056,0.362404,4.6398118,43.634422,305.454346,95.197586
51,8.481486060122112,4.55,7.647,6.209,1.28,0.505,0.153,0.384,0.454,0.417,0.751,0.275,0.137,0.371,0.217,0.384,0.223,0.418,0.315,141.129,96.293,7,0.1042551,5.485,3.746,1.134,0.372149,4.4353727,34.560898,256.171326,106.396454
52,8.275724130399212,8.5,226.155,4.724,1.338,0.974,0.156,0.928,0.545,0.349,0.672,0.515,0.075,0.458,0.151,0.445,0.17,0.608,0.537,3038.684,2255.664,8,0.1213201,5.479,3.599,1.15,0.356922,13.7761403,33.897964,254.650574,85.056236
53,8.67778070526608,4.7,286.429,7.654,2.1,0.967,0.152,0.835,0.482,0.401,1.245,0.663,0.139,0.52,0.243,0.567,0.239,0.572,0.494,7708.967,5806.096,8,0.1348587,6.14,3.878,1.159,0.410436,8.71621109,41.653503,226.143509,89.000031
54,8.585026652029182,2.41,7.621,5.634,1.247,0.526,0.154,0.422,0.446,0.447,0.893,0.278,0.221,0.369,0.279,0.42,0.224,0.438,0.302,127.531,83.768,10,0.1442781,5.555,3.654,1.108,0.349214,7.9443071,50.055126,261.670044,63.377014
55,8.585026652029182,9.29,146.249,8.678,2.336,0.93,0.153,0.215,0.457,0.503,1.955,0.179,0.355,0.295,0.399,0.318,0.553,0.392,0.218,4753.543,2424.888,8,0.1498538,5.821,3.369,1.257,0.373866,12.067001,25.743196,240.975555,39.447308
56,8.0,3.97,8.214,4.256,1.338,0.595,0.156,0.45,0.542,0.405,0.647,0.381,0.081,0.436,0.175,0.531,0.192,0.466,0.312,112.257,68.918,5,0.1278001,5.121,3.367,1.131,0.348338,8.94816406,42.306335,233.750519,59.718174
57,7.552841968657781,4.83,27.949,7.864,3.232,0.716,0.157,0.031,0.407,0.417,2.166,0.003,0.01,0.345,0.224,0.364,0.424,0.285,0.042,1084.912,205.762,7,0.1761855,5.839,3.938,1.17,0.361853,12.400744,47.535789,308.146484,137.959518
58,7.997833938243493,1.98,298.376,8.018,2.451,0.966,0.156,0.972,0.545,0.302,1.784,0.545,0.144,0.517,0.201,0.506,0.179,0.606,0.567,9315.065,7723.214,8,0.122733,5.448,4.621,1.182,0.37924,1.98204853,44.8521,234.628418,74.920723
59,8.3767507096021,9.39,7.697,5.609,1.318,0.526,0.153,0.422,0.433,0.442,0.934,0.336,0.21,0.391,0.269,0.387,0.21,0.432,0.307,132.209,89.474,11,0.1616852,5.666,4.233,1.118,0.353418,7.93183458,44.721344,257.318817,80.991882
60,8.301029995663981,7.08,325.715,8.202,1.421,0.971,0.151,0.846,0.424,0.389,1.139,0.466,0.214,0.428,0.235,0.353,0.36,0.553,0.543,7277.063,7020.584,8,0.1349502,6.273,4.397,1.077,0.411197,4.42293288,38.130459,268.306763,123.663551
61,7.920818753952375,2.95,8.349,7.892,0.811,0.49,0.151,0.42,0.345,0.272,0.399,0.205,0.066,0.258,0.116,0.204,0.15,0.345,0.335,149.541,119.075,9,0.0987648,5.898,4.155,1.091,0.41844,7.5441935,62.329178,254.081238,122.532272
62,8.769551078621726,3.83,134.274,7.065,3.637,0.926,0.148,0.253,0.399,0.375,2.807,0.48,0.17,0.39,0.244,0.562,0.323,0.342,0.273,5058.098,3671.644,9,0.0681453,7.008,5.689,1.114,0.455797,7.05462182,42.762959,222.628326,164.163696
63,8.431798275933005,6.08,11.292,6.455,1.524,0.586,0.149,0.49,0.402,0.451,0.805,0.419,0.115,0.386,0.22,0.45,0.277,0.448,0.343,230.294,175.018,9,0.2373173,6.637,5.213,1.161,0.435701,6.37490427,45.671303,258.736145,115.419876
64,8.267606240177031,4.37,10.658,5.969,2.237,0.565,0.145,0.53,0.409,0.463,1.468,0.441,0.144,0.441,0.276,0.421,0.317,0.467,0.372,262.012,200.81,8,0.2114234,6.86,5.171,1.11,0.422336,7.90025411,54.980846,341.142334,142.884903
65,8.136677139879543,7.01,281.274,6.299,1.592,0.973,0.15,0.774,0.419,0.397,1.238,0.427,0.236,0.405,0.284,0.476,0.255,0.53,0.53,5340.064,5092.848,10,0.1654694,6.563,5.427,1.097,0.414427,9.29212412,67.365906,254.12706,126.052002
66,8.075720713938118,3.76,11.59,5.512,1.452,0.625,0.148,0.475,0.575,0.43,0.812,0.468,0.117,0.493,0.209,0.489,0.245,0.493,0.381,200.04,145.206,10,0.205843,6.531,5.444,1.053,0.424193,5.7906674,53.528549,250.37915,162.122513
67,7.795880017344075,5.86,149.998,6.506,3.315,0.939,0.151,0.16,0.391,0.415,2.931,0.303,0.327,0.32,0.352,0.413,0.487,0.322,0.258,4889.896,3858.365,9,0.2078101,5.887,4.874,1.108,0.39485,8.32946615,42.017761,281.266724,86.752663
68,7.886056647693163,6.22,203.746,6.601,1.216,0.963,0.147,0.388,0.348,0.342,0.555,0.425,0.071,0.368,0.145,0.328,0.181,0.359,0.297,3447.242,2673.314,9,0.118041,6.916,5.639,1.092,0.463748,7.33407111,49.014954,276.251953,115.104851
70,8.031517051446064,9.84,107.707,9.853,1.639,0.904,0.147,0.121,0.407,0.531,1.57,0.312,0.486,0.322,0.48,0.36,0.611,0.353,0.315,3112.144,2840.957,11,0.1447967,6.665,5.058,1.044,0.440578,7.15539248,61.997715,286.755981,121.565224
76,8.040958607678906,1.64,10.717,5.353,1.117,0.624,0.151,0.413,0.388,0.358,0.495,0.209,0.07,0.27,0.152,0.356,0.184,0.386,0.288,156.566,99.477,7,0.1017695,5.991,4.306,1.14,0.411838,7.88633236,59.720333,261.681946,141.887009
78,8.337242168318426,4.76,104.769,22.433,3.504,0.802,0.151,0.103,0.044,0.381,2.259,0.013,0.151,0.02,0.236,0.035,0.302,0.176,0.091,11163.05,4850.633,9,0.1590156,5.958,4.34,1.091,0.396182,8.0648605,36.486004,244.73877,99.098885
79,7.0762380391713,4.39,19.429,2.929,0.621,0.846,0.162,0.562,0.369,0.293,0.698,0.38,0.209,0.275,0.276,0.384,0.385,0.408,0.319,129.082,100.149,7,0.1225645,5.88,2.844,1.155,0.427718,8.93141265,28.888485,932.438416,83.465736
80,9.522878745280336,0.42,255.015,5.926,2.573,0.968,0.154,0.982,0.462,0.434,2.011,0.283,0.208,0.332,0.246,0.43,0.254,0.626,0.487,6334.86,4458.549,8,0.0766484,5.552,4.051,1.081,0.380543,5.76544077,46.462154,262.618591,107.515526
81,10.0,1.0,8.507,5.458,0.986,0.569,0.154,0.433,0.37,0.347,0.552,0.222,0.11,0.254,0.163,0.398,0.195,0.383,0.303,120.954,85.484,9,0.0802202,5.557,4.052,1.16,0.378443,10.0786125,29.166401,227.281769,82.305077
82,8.958607314841775,0.73,239.097,6.781,2.177,0.964,0.151,0.527,0.433,0.445,1.767,0.488,0.307,0.432,0.307,0.403,0.4,0.468,0.434,5934.036,5276.546,11,0.2027403,5.854,4.051,1.107,0.406514,9.8163698,42.493649,272.640503,117.134033
83,8.309803919971486,8.53,9.141,5.642,0.787,0.587,0.154,0.436,0.369,0.297,0.367,0.225,0.064,0.265,0.125,0.34,0.153,0.367,0.234,119.343,70.869,7,0.1082758,5.523,4.2,1.169,0.3621,8.53295394,63.628372,247.093307,101.351158
85,7.508638306165727,2.42,204.715,5.394,0.786,0.971,0.159,0.327,0.412,0.303,0.368,0.213,0.066,0.278,0.127,0.342,0.136,0.347,0.163,2347.81,1104.562,9,0.0626175,4.783,3.66,1.161,0.322735,8.37328406,43.775715,239.633041,85.681442
86,7.366531544420414,7.39,9.957,5.188,1.62,0.594,0.156,0.442,0.341,0.336,1.329,0.177,0.213,0.234,0.232,0.255,0.291,0.373,0.37,176.602,152.583,10,0.0672267,5.795,4.072,1.293,0.418962,14.4381945,60.872997,308.301239,92.922066
87,8.2839966563652,4.55,74.988,8.067,1.762,0.884,0.153,0.083,0.459,0.341,1.754,0.254,0.405,0.494,0.329,0.528,0.184,0.294,0.222,1901.988,539.938,10,0.1147122,5.732,4.656,1.237,0.38664,11.6522119,54.792866,282.206512,95.948128
88,8.698970004336019,3.69,8.462,5.351,1.036,0.57,0.153,0.446,0.373,0.343,0.896,0.208,0.246,0.264,0.196,0.301,0.509,0.387,0.267,121.34,75.947,10,0.0363241,5.571,3.711,1.194,0.341267,10.538012,46.120163,299.096802,168.270248
89,8.468521082957745,8.72,301.201,5.307,3.191,0.973,0.153,0.801,0.408,0.479,2.439,0.315,0.244,0.337,0.346,0.378,0.266,0.563,0.425,7986.481,5667.284,9,0.120876,5.966,4.667,1.111,0.379155,9.66249527,57.184921,284.856354,123.218231
90,8.585026652029182,6.17,8.764,5.311,0.899,0.585,0.153,0.451,0.393,0.349,0.513,0.207,0.113,0.269,0.159,0.274,0.235,0.398,0.361,116.046,91.857,8,0.1218624,5.497,3.576,1.133,0.396704,9.2789197,30.266068,285.626587,134.849609
91,7.886056647693163,0.41,6.58,5.565,1.1,0.497,0.155,0.431,0.534,0.381,0.506,0.29,0.079,0.392,0.159,0.422,0.189,0.449,0.277,103.518,56.348,7,0.0641249,4.977,2.991,1.122,0.326839,8.56010951,53.572544,250.558502,88.045441
92,8.455931955649724,5.95,6.901,5.749,0.826,0.512,0.157,0.478,0.533,0.324,0.352,0.341,0.057,0.352,0.129,0.523,0.132,0.445,0.291,96.392,58.544,6,0.0774527,5.179,3.33,1.136,0.336912,8.38579872,22.773695,209.934021,52.02684
93,8.958607314841775,3.38,31.272,4.874,1.362,0.834,0.16,0.039,0.355,0.36,0.686,0.236,0.02,0.258,0.15,0.458,0.194,0.251,0.087,446.765,105.584,5,0.0641784,4.974,2.958,1.16,0.311011,10.3374075,34.741966,236.90509,51.142632
94,7.602059991327962,2.0,6.146,4.912,2.073,0.468,0.155,0.48,0.389,0.401,1.622,0.218,0.24,0.281,0.268,0.301,0.422,0.423,0.302,128.83,84.337,7,0.2782359,5.29,3.212,1.171,0.330602,10.489823,57.202171,262.953827,102.686905
95,6.127843727251707,1.48,251.856,4.734,2.261,0.973,0.163,0.774,0.29,0.438,2.31,0.112,0.248,0.122,0.399,0.17,0.31,0.501,0.444,4727.735,3561.079,11,0.0158442,4.639,3.554,1.247,0.32387,10.8170146,30.51096,213.987183,39.07333
96,6.6777807052660805,9.14,127.114,40.744,1.916,0.749,0.167,0.221,0.048,0.473,1.291,0.006,0.045,0.014,0.304,0.022,0.322,0.247,0.072,15593.897,3775.13,10,0.0169135,4.128,3.383,1.236,0.305805,10.0453105,42.610447,230.683228,31.592278
97,6.806875401645538,2.76,11.411,2.62,0.804,0.769,0.156,0.483,0.414,0.295,0.316,0.275,0.044,0.295,0.109,0.502,0.126,0.397,0.314,80.054,59.696,11,0.0460265,5.401,4.409,1.23,0.392285,10.9969305,24.38386,310.702972,103.139397
98,6.91721462968355,4.85,15.768,2.118,1.95,0.795,0.151,0.561,0.373,0.401,1.199,0.276,0.137,0.276,0.222,0.463,0.179,0.445,0.33,153.245,104.693,10,0.1221345,6.041,4.227,1.311,0.428887,15.2206222,29.396557,261.602844,151.217484
99,6.920818753952375,9.65,105.137,98.746,5.833,0.501,0.151,0.226,0.175,0.46,5.307,0.051,0.384,0.092,0.451,0.093,0.451,0.287,0.229,72340.599,43506.928,9,0.0791523,6.317,4.248,1.331,0.479767,14.1397419,55.638336,307.606384,80.389107
100,7.67778070526608,9.07,8.907,2.432,0.888,0.728,0.163,0.564,0.416,0.281,0.394,0.314,0.056,0.324,0.123,0.521,0.103,0.421,0.285,63.185,39.229,8,0.0157118,4.654,3.657,1.25,0.319438,10.4039244,33.273056,250.295547,29.602253
101,7.795880017344075,3.21,56.473,9.322,1.651,0.837,0.155,0.091,0.411,0.531,1.343,0.373,0.354,0.397,0.371,0.453,0.695,0.344,0.288,1571.657,1619.423,12,0.1068195,5.263,4.169,1.133,0.414173,8.1455065,58.883499,254.870667,143.140472
102,7.920818753952375,4.94,33.069,26.764,2.6,0.53,0.16,0.055,0.039,0.446,1.89,0.003,0.024,0.01,0.306,0.015,0.48,0.18,0.013,3404.146,296.575,11,0.1828507,5.348,4.078,1.262,0.373575,12.089574,56.021751,274.500824,89.558563
103,7.920818753952375,8.3,13.643,2.714,0.868,0.792,0.157,0.44,0.379,0.285,0.397,0.263,0.057,0.28,0.121,0.41,0.105,0.368,0.256,100.558,67.946,14,0.1240506,5.527,4.418,1.189,0.402779,10.2631551,46.866344,251.528961,63.271648
104,7.920818753952375,9.11,8.189,2.465,0.923,0.707,0.164,0.572,0.431,0.322,0.402,0.298,0.06,0.32,0.135,0.484,0.108,0.442,0.294,60.223,36.932,10,0.0145593,4.415,3.397,1.22,0.314905,10.7766982,45.614647,223.371597,65.392738
105,8.070581074285707,2.81,16.289,2.111,1.373,0.824,0.155,0.503,0.366,0.339,0.735,0.266,0.094,0.266,0.168,0.445,0.17,0.403,0.298,126.62,86.578,8,0.0932955,5.547,3.417,1.187,0.435337,10.5330949,86.546371,268.194427,118.690681
106,8.102372908709558,3.51,10.934,2.504,1.161,0.749,0.159,0.508,0.432,0.341,0.511,0.244,0.059,0.316,0.14,0.517,0.152,0.427,0.291,89.342,57.997,8,0.1380606,5.213,4.157,1.156,0.375304,7.98317492,40.140137,293.123993,87.901932
107,8.207608310501746,0.53,9.453,3.148,1.049,0.693,0.16,0.557,0.49,0.326,0.481,0.259,0.065,0.341,0.141,0.547,0.13,0.458,0.358,87.825,58.989,8,0.1424217,4.977,4.087,1.148,0.372035,11.2542524,37.76379,274.087494,95.853539
109,8.327902142064282,8.72,16.78,2.739,1.083,0.814,0.151,0.548,0.427,0.355,0.608,0.297,0.106,0.314,0.178,0.455,0.166,0.443,0.314,137.492,91.578,7,0.1003571,5.884,3.745,1.386,0.430764,14.9306738,52.019424,288.000061,90.642502
110,8.619788758288394,9.95,194.275,4.28,1.309,0.972,0.154,0.926,0.484,0.442,0.865,0.282,0.193,0.345,0.26,0.396,0.281,0.617,0.471,2380.231,1552.789,8,0.2586804,6.002,4.079,1.285,0.396805,12.688737,41.63303,296.131683,113.062553
113,5.337242168318426,9.29,11.056,1.789,0.524,0.827,0.177,0.577,0.518,0.45,0.249,0.541,0.041,0.325,0.146,0.367,0.178,0.515,0.43,50.236,47.06,4,0.1366468,5.231,2.24,1.083,0.367277,6.68314016,34.83466,39.135677,38.605804
114,5.508638306165727,9.65,142.115,7.353,0.581,0.947,0.177,0.405,0.418,0.389,0.47,0.34,0.257,0.36,0.21,0.458,0.281,0.404,0.341,1888.781,1609.253,3,0.1204872,4.025,2.309,1.112,0.323297,7.01989907,23.023228,28.318338,62.826195
115,5.537602002101044,5.27,294.336,101.719,0.907,0.741,0.167,0.51,0.179,0.242,1.556,0.039,0.727,0.079,0.287,0.067,0.522,0.31,0.404,57845.534,34464.237,7,0.1361413,5.891,2.981,1.168,0.39773,9.13583877,32.067856,61.732731,59.404144
116,5.585026652029182,4.77,18.887,2.261,0.968,0.854,0.165,0.546,0.354,0.192,1.413,0.654,0.141,0.211,0.233,0.253,0.327,0.364,0.383,126.591,107.974,6,0.2307873,5.683,3.21,1.134,0.424213,10.7477536,20.991602,54.716324,62.541752
