mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
76,8.040958607678906,7.61,222.262,6.852,2.345,0.96,0.151,0.643,0.478,0.353,0.361,0.107,0.402,0.181,0.443,0.244,0.491,0.37,0.395,7,0.1342943,5.947,4.203,1.137,0.387043,9.86445799,46.123627,251.784424,102.577858
78,8.337242168318426,5.8,309.611,175.111,6.581,0.63,0.151,0.546,0.437,0.483,0.3,0.427,0.335,0.474,0.33,0.378,0.489,0.429,0.41,5,0.1389265,5.877,4.203,1.091,0.387969,8.35734822,48.587318,270.433136,109.494148
79,7.0762380391713,8.13,19.193,3.193,0.362,0.844,0.162,0.567,0.381,0.21,0.334,0.078,0.29,0.094,0.412,0.086,0.386,0.268,0.313,7,0.1449743,6.023,2.777,1.171,0.429606,9.59483282,34.897316,925.972412,101.670921
80,9.522878745280336,7.53,264.602,8.228,4.831,0.953,0.152,0.603,0.377,0.386,0.229,0.23,0.282,0.267,0.293,0.333,0.456,0.347,0.359,10,0.1348491,5.845,4.017,1.098,0.386875,9.1071532,35.596416,286.552643,103.849373
81,10.0,7.56,8.763,5.068,1.088,0.587,0.154,0.439,0.379,0.357,0.235,0.093,0.258,0.168,0.425,0.182,0.391,0.298,0.36,7,0.0389149,5.568,4.154,1.167,0.378335,8.7599522,28.46624,240.343048,81.452309
82,8.958607314841775,4.81,170.541,10.166,2.369,0.932,0.151,0.366,0.46,0.393,0.567,0.143,0.44,0.216,0.868,0.2,0.407,0.363,0.461,9,0.1710581,5.795,4.086,1.106,0.418982,7.88988561,73.932373,255.596619,113.93544
83,8.309803919971486,5.87,8.865,5.372,0.814,0.589,0.154,0.438,0.366,0.294,0.223,0.07,0.264,0.13,0.339,0.154,0.366,0.238,0.331,8,0.1089276,5.18,3.861,1.164,0.3563,9.33322673,31.707619,255.956177,86.419434
85,7.508638306165727,7.88,231.853,5.927,1.222,0.97,0.159,0.862,0.499,0.411,0.509,0.148,0.463,0.218,0.409,0.258,0.591,0.518,0.504,10,0.0455691,5.114,3.861,1.169,0.322584,10.1746143,26.76186,220.565674,115.519958
86,7.366531544420414,0.56,9.922,5.208,1.41,0.6,0.152,0.429,0.349,0.353,0.148,0.226,0.221,0.239,0.22,0.313,0.377,0.369,0.531,9,0.0661248,5.895,4.28,1.18,0.415589,13.7812702,54.096123,270.960205,127.289169
87,8.2839966563652,2.79,227.574,6.032,1.617,0.967,0.153,0.907,0.392,0.355,0.14,0.121,0.212,0.208,0.256,0.183,0.551,0.364,0.392,11,0.0795153,5.856,4.658,1.234,0.383406,12.0649544,51.06496,252.539032,110.54174
88,8.698970004336019,5.43,297.463,5.127,4.571,0.968,0.153,0.77,0.373,0.394,0.434,0.221,0.361,0.291,0.485,0.268,0.512,0.414,0.439,8,0.0326465,5.626,3.609,1.194,0.340703,10.8668236,29.410995,308.887604,178.8423
89,8.468521082957745,9.37,58.057,8.053,3.835,0.83,0.153,0.05,0.425,0.43,0.093,0.1,0.498,0.343,0.431,0.527,0.302,0.065,0.326,9,0.0947159,5.95,4.598,1.112,0.38083,4.23644398,40.130299,251.580872,108.400688
90,8.585026652029182,2.38,9.387,5.117,0.883,0.61,0.154,0.448,0.407,0.298,0.195,0.096,0.268,0.136,0.269,0.187,0.384,0.357,0.511,9,0.1209137,5.483,3.677,1.121,0.405828,9.04728652,72.978447,292.115906,130.732681
