mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
68,7.886056647693163,2.98,227.86,107.322,5.607,0.669,0.147,0.311,0.181,0.4,0.375,0.417,0.234,0.401,0.129,0.361,0.366,9,0.1365633,6.481,4.989,1.085,0.402108,5.93633278,15.841983,299.031067,103.036705
70,8.031517051446064,3.79,11.26,8.428,0.767,0.55,0.15,0.419,0.412,0.269,0.35,0.048,0.403,0.107,0.342,0.116,0.283,9,0.1453483,6.707,5.024,1.041,0.437997,7.29775206,69.248894,299.631531,137.812042
76,8.040958607678906,0.63,9.974,5.546,1.157,0.598,0.151,0.399,0.379,0.363,0.209,0.068,0.267,0.15,0.351,0.183,0.289,6,0.0985513,6.06,4.203,1.145,0.405735,7.55007749,25.135836,272.332336,131.860123
78,8.337242168318426,6.25,196.376,6.45,2.986,0.954,0.151,0.582,0.388,0.386,0.278,0.171,0.307,0.253,0.341,0.255,0.321,8,0.1558531,5.927,4.306,1.093,0.394814,8.11773212,53.88797,259.354584,106.163605
79,7.0762380391713,7.02,213.292,169.825,3.421,0.552,0.162,0.576,0.539,0.319,0.65,0.291,0.972,0.3,0.576,0.361,0.486,6,0.2132579,6.247,2.844,1.171,0.441491,11.5601122,35.294163,939.644897,107.071373
80,9.522878745280336,2.79,250.333,8.509,3.445,0.954,0.152,0.377,0.437,0.384,0.583,0.212,0.49,0.268,0.466,0.264,0.355,7,0.0868849,5.861,4.153,1.113,0.38316,6.17489683,44.284691,260.654907,91.790154
81,10.0,8.52,8.546,5.585,0.891,0.569,0.154,0.466,0.384,0.334,0.27,0.081,0.281,0.139,0.395,0.186,0.29,6,0.1068469,5.538,4.085,1.166,0.372681,6.42382913,42.6092,256.28244,75.074104
82,8.958607314841775,6.12,22.864,10.013,1.05,0.674,0.151,0.038,0.488,0.308,0.005,0.09,0.151,0.146,0.047,0.202,0.136,9,0.1693242,5.909,3.95,1.119,0.416689,6.43891729,36.978691,313.229126,106.716469
83,8.309803919971486,7.9,9.229,5.221,0.862,0.603,0.154,0.426,0.377,0.329,0.249,0.069,0.272,0.143,0.388,0.156,0.24,6,0.1138118,5.028,4.098,1.169,0.361935,10.2094455,38.587791,224.870468,89.750816
85,7.508638306165727,4.57,6.66,5.334,0.807,0.52,0.159,0.456,0.537,0.31,0.259,0.06,0.359,0.125,0.418,0.136,0.273,9,0.0528751,4.965,3.694,1.162,0.324923,8.38684772,47.837852,243.369049,80.647018
86,7.366531544420414,9.41,184.149,5.668,1.221,0.964,0.152,0.248,0.444,0.31,0.202,0.141,0.287,0.174,0.32,0.174,0.199,7,0.1193893,5.917,3.974,1.29,0.403584,11.4987906,39.105255,279.545105,108.76519
87,8.2839966563652,7.6,279.563,6.508,1.199,0.973,0.153,0.577,0.44,0.37,0.3,0.181,0.337,0.215,0.31,0.244,0.404,10,0.1063327,5.989,4.69,1.238,0.368465,9.86696186,52.645184,235.391098,103.430069
88,8.698970004336019,6.22,28.992,5.264,3.774,0.762,0.154,0.035,0.376,0.459,0.067,0.003,0.246,0.096,0.294,0.272,0.026,8,0.0297279,5.408,3.644,1.195,0.340407,9.94791996,33.007263,278.298004,177.29628
89,8.468521082957745,6.03,32.73,7.843,3.757,0.738,0.153,0.029,0.534,0.408,0.017,0.002,0.104,0.16,0.268,0.239,0.011,7,0.0824512,5.642,4.324,1.116,0.382982,9.87963043,39.507938,271.652252,133.366837
90,8.585026652029182,8.35,76.263,5.751,1.435,0.914,0.157,0.087,0.337,0.353,0.205,0.451,0.263,0.272,0.253,0.776,0.257,10,0.0898466,5.612,3.643,1.131,0.392813,8.71845095,35.427864,252.364014,128.88179
91,7.886056647693163,7.44,200.505,5.925,1.078,0.966,0.155,0.68,0.46,0.382,0.398,0.077,0.423,0.161,0.406,0.204,0.369,9,0.0883989,4.846,2.924,1.147,0.325541,8.06200763,25.300058,262.610229,91.673279
92,8.455931955649724,4.53,389.849,106.746,5.219,0.777,0.157,0.735,0.283,0.525,0.133,0.325,0.195,0.385,0.131,0.402,0.482,6,0.0932527,4.782,3.262,1.138,0.336842,7.31152259,31.201563,226.106522,45.297245
93,8.958607314841775,2.46,6.341,4.565,0.97,0.534,0.161,0.504,0.415,0.315,0.296,0.07,0.285,0.14,0.51,0.135,0.274,8,0.0291703,4.581,2.924,1.152,0.312106,8.25517849,26.505711,220.4021,83.332542
94,7.602059991327962,6.29,135.326,5.739,2.212,0.945,0.154,0.111,0.467,0.412,0.334,0.312,0.36,0.315,0.451,0.6,0.245,7,0.3031674,5.12,3.076,1.202,0.311867,10.1543248,68.524269,269.087219,86.040245
95,6.127843727251707,8.95,37.74,7.208,2.531,0.795,0.163,0.032,0.562,0.417,0.002,0.185,0.484,0.343,0.518,0.551,0.066,11,0.138546,4.719,3.691,1.252,0.321402,10.731579,38.987381,259.099762,42.521683
96,6.6777807052660805,8.37,39.615,3.691,1.859,0.877,0.167,0.043,0.446,0.486,0.036,0.007,0.255,0.206,0.437,0.203,0.016,11,0.0235413,4.431,3.417,1.237,0.300454,10.5069305,41.210152,212.480865,63.825424
97,6.806875401645538,1.68,134.475,4.819,2.447,0.949,0.156,0.245,0.453,0.431,0.318,0.284,0.354,0.308,0.472,0.463,0.281,8,0.0330822,5.333,4.238,1.228,0.395361,10.9559566,34.678986,302.451508,110.659988
