mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
110,8.619788758288394,1.87,238.627,59.375,9.297,0.777,0.153,0.963,0.1,0.377,0.041,0.096,0.182,0.035,0.195,0.48,0.382,0.403,8,0.0888141,5.873,4.01,1.214,0.453802,12.9731904,40.883549,303.92984,97.295341
113,5.337242168318426,5.2,10.449,1.2,1.144,0.817,0.177,0.57,0.518,0.476,0.438,0.081,0.145,0.254,0.141,0.521,0.412,0.378,4,0.0641833,4.954,2.206,1.083,0.36092,5.89171053,18.875704,47.500217,58.877762
114,5.508638306165727,3.5,10.672,1.332,1.017,0.82,0.177,0.607,0.495,0.406,0.374,0.121,0.242,0.727,0.139,0.503,0.294,0.462,3,0.1417508,4.239,2.241,1.112,0.323199,6.72602483,30.634684,56.584251,56.672668
115,5.537602002101044,7.35,16.435,2.453,0.826,0.834,0.167,0.578,0.425,0.296,0.566,0.241,0.333,0.409,0.367,0.433,0.396,0.41,4,0.2316189,5.856,3.082,1.177,0.400979,9.64093059,38.601372,44.244995,78.317215
116,5.585026652029182,2.96,18.386,2.375,0.716,0.856,0.165,0.526,0.373,0.323,0.458,0.192,0.374,0.387,0.428,0.407,0.328,0.408,6,0.1113019,5.667,3.075,1.142,0.414567,7.38937354,25.715271,46.566559,62.17194
117,5.619788758288394,4.25,19.66,2.547,0.394,0.87,0.163,0.562,0.387,0.228,0.446,0.073,0.094,0.453,0.089,0.392,0.29,0.324,7,0.1132731,5.53,2.777,1.16,0.419254,11.1317413,45.684227,61.697193,75.469315
118,5.657577319177793,3.91,292.456,2.266,0.479,0.991,0.177,0.964,0.498,0.428,0.828,0.213,0.265,0.499,0.158,0.63,0.692,0.527,5,0.0796051,4.745,2.308,1.113,0.326941,7.32913478,34.116356,70.58387,49.991089
119,5.6777807052660805,9.73,131.992,6.195,1.267,0.946,0.177,0.31,0.458,0.403,0.338,0.131,0.195,0.446,0.213,0.39,0.273,0.289,4,0.1109267,5.135,2.24,1.077,0.350188,6.03717006,33.198917,42.134171,51.634567
120,5.698970004336019,0.92,12.666,2.108,0.767,0.815,0.172,0.618,0.459,0.455,0.499,0.125,0.196,0.377,0.21,0.511,0.393,0.515,5,0.1133353,4.878,2.241,1.049,0.381905,5.94228156,40.525307,69.646133,39.644348
121,5.769551078621726,6.22,239.34,41.106,3.358,0.843,0.174,0.866,0.044,0.353,0.002,0.012,0.38,0.014,0.189,0.421,0.322,0.38,4,0.1189484,4.54,2.724,1.13,0.329256,7.06965649,63.782074,44.408966,43.748016
122,5.769551078621726,4.76,10.75,1.391,1.023,0.817,0.177,0.613,0.523,0.454,0.618,0.124,0.22,0.495,0.147,0.53,0.364,0.401,2,0.1409246,4.753,2.308,1.127,0.323089,7.55379342,33.245575,46.664429,58.176781
123,5.823908740944319,9.83,55.344,7.741,2.34,0.846,0.159,0.091,0.431,0.386,0.01,0.291,0.294,0.196,0.409,0.302,0.105,0.214,6,0.141132,6.347,2.607,1.145,0.424986,6.77567128,34.681011,200.893158,177.291748
124,5.958607314841775,9.72,11.29,2.283,0.956,0.777,0.171,0.575,0.374,0.256,0.768,0.105,0.4,0.362,0.505,0.402,0.403,0.467,4,0.198455,5.229,2.515,1.1,0.341877,4.70643996,23.841034,35.931129,75.928642
125,6.0,0.34,20.526,1.713,1.146,0.878,0.163,0.547,0.402,0.428,0.432,0.133,0.271,0.356,0.422,0.459,0.335,0.444,9,0.230827,6.054,3.232,1.104,0.456126,6.76368312,68.32917,78.38575,84.746658
126,6.0,2.24,20.761,2.543,0.711,0.865,0.162,0.574,0.399,0.215,0.453,0.286,0.261,0.35,0.284,0.396,0.388,0.385,7,0.0903148,6.594,3.028,1.076,0.452214,7.09689047,39.193085,77.30983,72.245232
