mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
67,7.795880017344075,10.409,4.447,1.203,0.648,0.151,0.446,0.574,0.391,0.407,0.073,0.427,0.164,0.502,0.194,0.47,0.349,8,0.211166,5.92,5.009,1.108,0.398937,8.44168861,63.689274,297.74826,109.74968
68,7.886056647693163,227.742,29.832,2.393,0.876,0.147,0.343,0.045,0.289,0.01,0.124,0.018,0.184,0.029,0.186,0.225,0.147,7,0.1058069,7.169,5.229,1.097,0.44276,8.83311743,51.049164,270.464203,133.88385
70,8.031517051446064,247.805,10.422,1.125,0.955,0.147,0.523,0.484,0.358,0.293,0.134,0.358,0.187,0.367,0.2,0.455,0.375,9,0.1509079,6.544,5.263,1.045,0.437592,7.93334223,64.485184,299.795776,121.88945
76,8.040958607678906,275.123,6.367,5.343,0.959,0.151,0.978,0.309,0.367,0.32,0.203,0.246,0.257,0.189,0.305,0.552,0.529,8,0.1328535,6.041,4.238,1.145,0.389035,9.65857118,30.118984,263.109955,128.423996
78,8.337242168318426,241.736,9.011,1.114,0.96,0.151,0.368,0.397,0.507,0.594,0.192,0.491,0.287,0.511,0.397,0.424,0.349,5,0.1338763,6.502,4.067,1.098,0.401237,6.40892544,53.986313,250.352661,127.654266
79,7.0762380391713,141.17,10.444,1.784,0.92,0.162,0.247,0.492,0.338,0.383,0.149,0.407,0.154,0.469,0.184,0.359,0.223,7,0.2175109,5.864,3.048,1.168,0.43431,9.39806526,58.232162,942.927673,109.819588
80,9.522878745280336,88.233,4.716,1.117,0.938,0.152,0.147,0.408,0.361,0.263,0.095,0.289,0.171,0.447,0.188,0.306,0.173,9,0.075219,5.94,4.154,1.092,0.401229,4.34803749,21.630812,276.444824,87.184189
81,10.0,8.522,5.53,0.923,0.569,0.154,0.441,0.375,0.34,0.242,0.092,0.261,0.161,0.412,0.184,0.385,0.296,7,0.0600024,5.469,4.052,1.166,0.37734,7.42555813,37.501999,239.296677,85.833031
82,8.958607314841775,248.139,45.999,3.191,0.835,0.151,0.472,0.054,0.393,0.004,0.047,0.013,0.317,0.018,0.269,0.307,0.187,7,0.1928183,6.066,4.291,1.128,0.406451,9.24628788,42.296532,289.870178,122.478523
83,8.309803919971486,8.804,5.481,0.821,0.583,0.154,0.431,0.371,0.292,0.218,0.068,0.264,0.129,0.336,0.153,0.365,0.238,7,0.110456,5.592,3.997,1.168,0.357051,8.34367297,29.719704,251.868408,77.766594
