mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
90,8.585026652029182,3.09,8.743,5.122,0.916,0.591,0.153,0.468,0.4,0.294,0.776,0.203,0.091,0.27,0.137,0.27,0.174,0.387,0.357,0.505,9,0.0974413,5.62,3.473,1.123,0.393458,8.78669611,49.930691,268.570068,123.039734
91,7.886056647693163,6.58,6.443,5.775,1.033,0.486,0.155,0.419,0.516,0.376,0.452,0.277,0.078,0.378,0.159,0.402,0.181,0.437,0.269,0.376,7,0.0936756,5.321,2.923,1.147,0.325778,8.27830762,34.02705,239.297852,82.635941
92,8.455931955649724,1.69,259.557,6.595,0.847,0.972,0.157,0.686,0.482,0.338,0.835,0.483,0.082,0.44,0.15,0.456,0.189,0.502,0.467,0.48,8,0.0801229,5.28,3.159,1.142,0.337987,7.20123468,38.437317,233.738968,49.695354
93,8.958607314841775,5.73,113.512,4.599,1.253,0.951,0.16,0.23,0.456,0.378,0.368,0.31,0.154,0.327,0.224,0.55,0.266,0.355,0.277,0.359,7,0.0250043,4.666,3.062,1.166,0.311719,8.96885217,18.433451,248.602203,54.974392
94,7.602059991327962,7.93,6.461,3.386,2.287,0.532,0.154,0.531,0.536,0.425,0.351,0.307,0.225,0.432,0.275,0.459,0.378,0.497,0.295,0.413,9,0.3093327,4.946,3.212,1.202,0.313524,10.6975741,64.965698,256.085022,114.680252
95,6.127843727251707,2.95,8.517,2.737,0.975,0.696,0.163,0.603,0.451,0.355,0.575,0.343,0.09,0.343,0.165,0.548,0.163,0.47,0.336,0.45,11,0.1385152,4.397,3.417,1.249,0.326897,10.6987623,42.477318,230.832993,49.111275
96,6.6777807052660805,9.86,34.952,3.095,0.925,0.897,0.167,0.05,0.419,0.305,0.007,0.298,0.032,0.318,0.127,0.506,0.126,0.258,0.112,0.219,7,0.0759917,4.298,3.212,1.237,0.303239,9.99138,22.544174,248.155167,38.290222
97,6.806875401645538,7.14,110.269,7.485,1.828,0.922,0.156,0.158,0.46,0.54,0.171,0.371,0.309,0.396,0.355,0.461,0.632,0.386,0.284,0.385,10,0.0404317,5.094,4.374,1.231,0.391922,10.9526231,46.454208,286.430359,114.143517
98,6.91721462968355,9.3,25.119,10.501,1.68,0.673,0.151,0.077,0.137,0.481,0.272,0.002,0.006,0.01,0.18,0.022,0.268,0.231,0.093,0.142,10,0.0540091,6.118,4.227,1.321,0.437405,12.4008438,77.876724,321.966736,136.460678
99,6.920818753952375,8.92,21.739,2.273,1.056,0.867,0.151,0.574,0.376,0.353,0.557,0.274,0.066,0.281,0.153,0.428,0.152,0.434,0.299,0.42,12,0.0958989,6.177,4.317,1.33,0.478277,13.9833492,67.465645,296.612946,75.026482
100,7.67778070526608,4.45,204.583,2.47,1.036,0.983,0.163,0.766,0.411,0.299,0.588,0.311,0.047,0.325,0.117,0.494,0.088,0.492,0.315,0.377,10,0.1007655,4.328,3.52,1.25,0.317649,11.5987445,67.505554,281.891663,44.192741
101,7.795880017344075,6.3,327.761,6.163,0.93,0.979,0.155,0.616,0.379,0.338,0.621,0.508,0.057,0.399,0.129,0.649,0.133,0.445,0.395,0.444,9,0.1208985,5.286,4.272,1.134,0.423257,8.11610673,46.782562,283.834778,121.415092
102,7.920818753952375,2.87,224.276,3.332,1.2,0.98,0.161,0.873,0.509,0.479,0.799,0.317,0.112,0.342,0.24,0.476,0.184,0.62,0.409,0.453,10,0.100242,5.331,3.874,1.262,0.395806,13.3950458,59.937729,231.269241,116.180458
103,7.920818753952375,6.71,13.008,2.828,0.84,0.78,0.157,0.442,0.395,0.255,0.465,0.28,0.045,0.294,0.108,0.432,0.094,0.364,0.263,0.359,11,0.1256054,5.698,4.282,1.189,0.398253,9.5656975,47.375229,272.982758,59.076157
104,7.920818753952375,2.63,8.242,2.408,0.909,0.713,0.164,0.567,0.424,0.292,0.533,0.306,0.057,0.324,0.125,0.499,0.103,0.428,0.299,0.421,10,0.0894822,4.805,3.568,1.203,0.316709,11.3429277,43.289486,243.516479,53.87421
105,8.070581074285707,2.37,155.917,2.718,1.12,0.976,0.154,0.542,0.372,0.375,0.71,0.344,0.114,0.297,0.197,0.402,0.195,0.43,0.39,0.403,6,0.0565941,5.649,3.383,1.179,0.435445,10.6190213,46.095932,242.029953,84.249725
106,8.102372908709558,5.43,10.073,2.326,1.501,0.725,0.157,0.514,0.413,0.394,0.679,0.246,0.117,0.32,0.198,0.608,0.178,0.441,0.347,0.438,10,0.0951573,5.351,4.047,1.146,0.37395,6.10285673,50.608978,304.065674,86.410522
107,8.207608310501746,1.33,228.599,26.612,2.712,0.886,0.16,0.338,0.033,0.486,0.445,0.001,0.19,0.007,0.419,0.011,0.585,0.286,0.212,0.261,8,0.0254424,5.102,4.08,1.262,0.382299,14.1759355,30.804516,275.099915,83.612854
109,8.327902142064282,0.7,14.29,3.26,1.02,0.769,0.151,0.536,0.452,0.428,0.58,0.323,0.095,0.344,0.189,0.452,0.19,0.472,0.333,0.437,7,0.1722225,5.635,3.95,1.277,0.415525,14.5768789,40.35928,285.044739,43.592251
110,8.619788758288394,5.54,204.327,24.817,5.234,0.872,0.153,0.934,0.028,0.339,1.022,0.014,0.001,0.008,0.123,0.012,0.2,0.434,0.346,0.396,7,0.0969132,6.283,4.247,1.284,0.450149,13.2927129,58.521561,284.543762,93.49704
113,5.337242168318426,7.43,253.305,7.587,0.343,0.97,0.177,0.31,0.467,0.203,0.375,0.41,0.456,0.419,0.263,0.431,0.263,0.327,0.414,0.308,3,0.1022635,4.518,2.309,1.083,0.368069,6.90883739,26.052069,52.898602,28.746862
114,5.508638306165727,4.65,30.337,9.678,0.376,0.751,0.177,0.05,0.562,0.301,0.076,0.003,0.015,0.177,0.139,0.499,0.141,0.304,0.031,0.218,4,0.1147434,4.057,2.241,1.112,0.324974,6.95495988,30.520548,37.937805,26.212168
115,5.537602002101044,0.27,65.568,45.51,5.562,0.562,0.167,0.083,0.046,0.409,0.06,0.005,0.008,0.012,0.091,0.018,0.159,0.179,0.024,0.068,8,0.2190639,5.728,2.845,1.158,0.397854,9.72538375,40.138786,66.366936,47.627342
116,5.585026652029182,8.0,19.473,1.874,0.974,0.872,0.165,0.531,0.29,0.188,0.327,0.66,0.1,0.17,0.248,0.228,0.354,0.336,0.362,0.331,9,0.1021451,5.999,3.075,1.138,0.421896,6.13748502,23.855406,49.385372,57.795353
117,5.619788758288394,4.42,84.667,11.101,2.117,0.865,0.163,0.116,0.563,0.431,0.052,0.269,0.315,0.456,0.322,0.382,0.457,0.37,0.212,0.296,10,0.0485453,5.868,2.775,1.163,0.423984,11.8908295,41.155846,43.000237,51.729988
118,5.657577319177793,1.83,178.935,6.758,0.695,0.96,0.177,0.405,0.423,0.446,0.485,0.352,0.204,0.387,0.242,0.438,0.321,0.424,0.347,0.369,3,0.0229711,4.889,2.241,1.114,0.323774,7.53708994,23.607166,46.111042,40.812557
119,5.6777807052660805,3.35,308.752,91.927,2.06,0.767,0.177,0.744,0.458,0.403,0.691,0.293,0.625,0.41,0.326,0.27,0.414,0.535,0.536,0.459,4,0.1583987,4.864,2.378,1.077,0.356068,6.10983767,33.625748,29.845287,26.630663
120,5.698970004336019,4.19,168.146,1.786,1.71,0.98,0.172,0.63,0.33,0.306,0.796,0.235,0.16,0.31,0.234,0.277,0.17,0.422,0.397,0.458,4,0.158987,4.868,2.309,1.052,0.371069,4.39363246,48.585739,47.382912,57.298565
