mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
114,5.508638306165727,0.86,275.226,3.364,1.692,0.982,0.177,0.992,0.414,0.48,0.465,0.193,0.25,0.292,0.296,0.629,0.562,3,0.1697807,4.199,2.274,1.112,0.324204,6.88081258,63.71489,49.553596,33.445763
115,5.537602002101044,4.03,151.796,11.204,1.151,0.925,0.167,0.221,0.471,0.462,0.475,0.629,0.401,0.489,0.516,0.385,0.383,7,0.1046263,5.963,2.911,1.157,0.404858,11.6713253,39.037903,64.693283,46.868736
116,5.585026652029182,1.74,18.588,2.448,0.538,0.862,0.165,0.531,0.387,0.346,0.468,0.224,0.335,0.428,0.363,0.421,0.341,8,0.1312104,5.938,3.142,1.147,0.416162,8.16923159,40.51532,62.777168,71.770042
117,5.619788758288394,3.72,35.14,13.552,0.39,0.716,0.163,0.054,0.451,0.267,0.002,0.061,0.227,0.086,0.24,0.258,0.063,7,0.1876535,6.074,2.98,1.154,0.418715,9.16735169,18.742899,61.604977,72.977264
118,5.657577319177793,7.66,157.882,44.035,6.031,0.759,0.177,0.309,0.048,0.421,0.003,0.01,0.337,0.018,0.449,0.259,0.137,5,0.0639079,5.055,2.241,1.114,0.325983,7.43404747,21.751041,38.51857,55.211632
119,5.6777807052660805,9.57,33.802,10.751,0.674,0.747,0.177,0.047,0.583,0.3,0.415,0.048,0.111,0.575,0.152,0.31,0.308,4,0.1155935,4.728,2.309,1.077,0.357281,5.98896155,24.438282,35.204277,30.996759
120,5.698970004336019,4.66,153.198,27.672,1.438,0.84,0.172,0.269,0.066,0.298,0.008,0.017,0.176,0.019,0.25,0.211,0.065,3,0.1613628,5.167,2.208,1.051,0.377103,4.57067361,51.819603,43.021828,34.677197
121,5.769551078621726,0.91,9.934,2.308,0.427,0.784,0.174,0.569,0.478,0.387,0.424,0.193,0.195,0.409,0.154,0.478,0.331,6,0.0907755,4.48,2.72,1.133,0.322471,7.65171959,32.998112,26.462311,72.734421
122,5.769551078621726,6.85,10.981,1.863,0.467,0.825,0.177,0.606,0.514,0.482,0.57,0.085,0.21,0.528,0.171,0.534,0.344,4,0.1048413,4.42,2.308,1.129,0.328468,7.73576436,21.504755,58.870975,31.041077
123,5.823908740944319,7.64,345.838,6.07,1.429,0.979,0.159,0.804,0.392,0.478,0.309,0.607,0.368,0.561,0.468,0.558,0.529,7,0.2585799,6.889,2.981,1.149,0.433374,7.9998858,56.123436,221.075226,209.217667
124,5.958607314841775,4.78,94.952,5.831,2.529,0.919,0.171,0.136,0.478,0.401,0.409,0.411,0.34,0.452,0.492,0.338,0.287,4,0.1196884,4.865,2.447,1.102,0.337399,6.47789835,36.612564,37.946518,86.016479
125,6.0,9.93,20.885,2.184,0.617,0.882,0.165,0.54,0.385,0.263,0.46,0.417,0.338,0.372,0.351,0.396,0.419,6,0.0337887,5.951,3.438,1.129,0.449366,10.0048716,49.257469,65.639877,70.08297
126,6.0,8.01,15.665,4.007,0.931,0.76,0.164,0.547,0.363,0.192,0.151,0.701,0.223,0.282,0.285,0.367,0.413,7,0.1749401,5.911,3.028,1.082,0.41503,7.61169833,44.384171,112.492134,81.363449
127,6.309803919971486,6.08,53.012,19.558,1.282,0.718,0.163,0.067,0.518,0.39,0.403,0.147,0.204,0.535,0.264,0.325,0.25,7,0.0880207,6.015,3.335,1.101,0.454711,7.24869831,76.72538,73.203369,74.12941
128,6.366531544420414,1.07,386.407,91.859,3.401,0.802,0.161,0.709,0.183,0.551,0.04,0.474,0.554,0.076,0.496,0.481,0.343,4,0.1794713,5.987,3.254,1.092,0.443786,6.60918362,40.751671,85.610443,83.446869
129,6.443697499232712,3.73,32.222,21.402,2.043,0.579,0.158,0.056,0.251,0.324,0.001,0.034,0.204,0.012,0.258,0.211,0.139,9,0.2209403,6.63,3.335,1.124,0.484252,7.46008944,41.374538,100.629028,106.116272
130,6.698970004336019,8.79,20.883,2.25,0.732,0.875,0.163,0.575,0.409,0.202,0.539,0.236,0.292,0.329,0.343,0.395,0.412,8,0.1004729,6.324,3.777,1.133,0.462226,7.1252864,50.501892,89.214699,76.0271
