mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,107,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
51,8.481486060122112,22.715,7.501,5.069,0.644,0.153,0.028,0.459,0.463,0.036,0.002,0.302,0.123,0.437,0.182,0.317,0.039,1222.611,10,0.1013998,5.973,3.511,1.138,0.370154,11.6699226,59.819351,260.616364,93.016296
52,8.275724130399212,164.404,6.234,3.697,0.943,0.156,0.288,0.482,0.401,0.319,0.189,0.407,0.24,0.539,0.411,0.39,0.321,5619.53,12,0.1295173,5.047,3.7,1.146,0.360595,7.65802669,46.656471,222.967606,106.40097
53,8.67778070526608,9.134,5.26,1.571,0.572,0.152,0.433,0.442,0.457,0.247,0.118,0.346,0.231,0.433,0.26,0.444,0.31,162.111,7,0.176208,5.635,3.81,1.169,0.384835,6.09478957,30.668652,241.445953,91.88398
54,8.585026652029182,25.841,5.675,2.388,0.762,0.154,0.044,0.45,0.38,0.025,0.004,0.298,0.063,0.469,0.148,0.291,0.016,606.067,7,0.0448398,5.516,4.047,1.125,0.374908,3.58348422,42.414227,233.146301,70.674011
55,8.585026652029182,168.536,8.584,3.486,0.933,0.153,0.249,0.442,0.4,0.274,0.42,0.326,0.406,0.35,0.59,0.364,0.289,7288.722,7,0.1814443,5.859,3.335,1.264,0.375639,12.8524237,65.509689,265.170471,56.329205
56,8.0,84.28,3.91,2.492,0.929,0.155,0.089,0.55,0.449,0.411,0.289,0.431,0.33,0.518,0.404,0.363,0.248,1461.27,6,0.091772,5.115,3.335,1.141,0.344586,8.93142564,46.509247,249.106964,92.849609
57,7.552841968657781,8.163,5.923,1.341,0.529,0.155,0.417,0.484,0.443,0.263,0.201,0.353,0.283,0.33,0.298,0.448,0.325,147.518,9,0.1516781,5.65,4.211,1.168,0.371412,4.57095884,36.554008,300.406494,113.837448
58,7.997833938243493,234.854,5.291,1.296,0.973,0.156,0.633,0.489,0.475,0.37,0.392,0.369,0.355,0.398,0.244,0.532,0.47,3406.178,8,0.1580154,5.561,4.475,1.12,0.355201,10.4392961,59.909122,219.417923,111.166595
59,8.3767507096021,276.022,7.787,1.164,0.969,0.153,0.952,0.469,0.339,0.524,0.124,0.438,0.176,0.487,0.22,0.587,0.526,5265.453,11,0.1504554,5.737,4.302,1.114,0.365473,4.08641402,44.271671,267.850098,117.83696
60,8.301029995663981,171.329,7.98,1.168,0.949,0.151,0.231,0.471,0.428,0.566,0.281,0.406,0.281,0.635,0.248,0.377,0.356,3354.099,7,0.1071863,6.013,4.246,1.08,0.424444,9.7872697,35.830029,261.474823,153.872665
