mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,54,74,75,76,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
78,8.337242168318426,9.255,6.728,1.045,0.544,0.151,0.462,0.349,0.289,0.576,0.199,0.151,0.494,0.253,0.18,0.198,0.604,0.301,0.134,0.367,0.309,0.309,0.346,7,0.0004636,5.992,4.238,1.0,0.394469,9.79865923,28.892925,259.037415,151.355087
79,7.0762380391713,18.867,2.766,1.027,0.833,0.162,0.601,0.361,0.233,0.443,0.444,0.328,0.516,0.232,0.254,0.314,0.469,0.284,0.4,0.398,0.405,0.334,0.385,8,0.0004663,6.08,2.979,1.0,0.434846,11.7533871,38.209084,944.660583,73.196159
80,9.522878745280336,9.504,5.122,0.907,0.612,0.152,0.446,0.403,0.367,0.576,0.299,0.084,0.498,0.303,0.153,0.199,0.52,0.437,0.197,0.405,0.32,0.318,0.385,9,0.0004859,5.746,4.222,1.0,0.392955,7.56565433,49.088615,277.239258,110.006256
81,10.0,9.067,5.022,1.025,0.6,0.155,0.443,0.378,0.335,0.572,0.208,0.105,0.492,0.245,0.163,0.195,0.47,0.396,0.196,0.385,0.295,0.3,0.354,6,0.0004586,5.473,4.121,1.0,0.379542,9.82243311,26.224903,242.19931,84.021225
82,8.958607314841775,9.292,4.844,1.009,0.614,0.151,0.414,0.417,0.377,0.64,0.269,0.086,0.448,0.302,0.167,0.222,0.853,0.392,0.176,0.403,0.332,0.306,0.474,8,0.0005036,5.75,3.711,1.0,0.398188,10.5044118,44.953053,261.655304,144.064133
83,8.309803919971486,7.017,5.629,1.082,0.511,0.155,0.499,0.421,0.346,0.475,0.299,0.083,0.465,0.316,0.158,0.204,0.575,0.455,0.177,0.422,0.285,0.313,0.402,6,0.0004784,4.996,3.861,1.0,0.340023,10.6560081,25.740093,254.873917,104.438492
85,7.508638306165727,6.457,5.022,1.058,0.515,0.159,0.474,0.563,0.355,0.463,0.319,0.077,0.443,0.379,0.154,0.204,0.541,0.511,0.163,0.464,0.286,0.325,0.405,10,0.0004894,5.117,3.862,1.0,0.321843,7.44864168,41.047333,228.018372,112.430237
86,7.366531544420414,9.767,4.856,1.779,0.595,0.152,0.427,0.347,0.426,0.741,0.193,0.289,0.466,0.239,0.301,0.274,1.091,0.293,0.404,0.4,0.408,0.336,0.596,10,0.0004718,5.93,4.208,1.0,0.420226,14.6145469,56.86161,285.700714,129.823318
87,8.2839966563652,8.012,6.028,0.878,0.537,0.153,0.432,0.434,0.356,0.489,0.302,0.123,0.453,0.331,0.178,0.212,0.523,0.374,0.17,0.408,0.305,0.321,0.356,11,0.0004787,5.746,4.522,1.0,0.37068,11.4879427,22.694443,240.889954,150.818588
88,8.698970004336019,8.875,4.702,1.108,0.604,0.153,0.45,0.394,0.344,0.349,0.24,0.194,0.402,0.287,0.18,0.183,0.374,0.345,0.419,0.396,0.261,0.289,0.379,10,0.000509,5.411,3.608,1.0,0.340857,11.0057477,48.7985,279.007477,157.545349
